"Fund Holdings as of,""17/Oct/2018"""
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"LEG,""LEG IMMOBILIEN N AG"",""Equity"",""1.31"",""99.80"",""106,808.00"",""10,659,438.40"",""10,659,438.40"",""Real Estate"",""DE000LEG1110"",""Xetra"",""Germany"",""EUR"""
"KRX,""KINGSPAN GROUP PLC"",""Equity"",""1.26"",""39.98"",""257,828.00"",""10,307,963.44"",""10,307,963.44"",""Industrials"",""IE0004927939"",""Irish Stock Exchange - All Market"",""Ireland"",""EUR"""
"ASRNL,""ASR NEDERLAND NV"",""Equity"",""1.22"",""40.04"",""248,702.00"",""9,958,028.08"",""9,958,028.08"",""Financials"",""NL0011872643"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"ORP,""ORPEA S.A."",""Equity"",""0.98"",""104.50"",""76,491.00"",""7,993,309.50"",""7,993,309.50"",""Health Care"",""FR0000184798"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"MRL,""MERLIN PROPERTIES REIT SA"",""Equity"",""0.82"",""11.26"",""595,628.00"",""6,706,771.28"",""6,706,771.28"",""Real Estate"",""ES0105025003"",""Bolsa De Madrid"",""Spain"",""EUR"""
"INXN,""INTERXION HOLDING NV"",""Equity"",""0.81"",""54.28"",""121,063.00"",""6,571,076.40"",""6,571,076.40"",""Information Technology"",""NL0009693779"",""New York Stock Exchange Inc."",""Netherlands"",""USD"""
"RUI,""RUBIS"",""Equity"",""0.80"",""45.44"",""144,355.00"",""6,559,491.20"",""6,559,491.20"",""Utilities"",""FR0013269123"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"GTO,""GEMALTO NV"",""Equity"",""0.80"",""50.28"",""130,386.00"",""6,555,808.08"",""6,555,808.08"",""Information Technology"",""NL0000400653"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"FBK,""FINECOBANK BANCA FINECO"",""Equity"",""0.79"",""9.69"",""668,952.00"",""6,479,469.07"",""6,479,469.07"",""Financials"",""IT0000072170"",""Borsa Italiana"",""Italy"",""EUR"""
"AMEAS,""AMER SPORTS"",""Equity"",""0.79"",""34.41"",""187,857.00"",""6,464,159.37"",""6,464,159.37"",""Consumer Discretionary"",""FI0009000285"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"G24,""SCOUT24 N AG"",""Equity"",""0.77"",""34.48"",""182,278.00"",""6,284,945.44"",""6,284,945.44"",""Communication"",""DE000A12DM80"",""Xetra"",""Germany"",""EUR"""
"GLPG,""GALAPAGOS NV"",""Equity"",""0.76"",""89.34"",""69,217.00"",""6,183,846.78"",""6,183,846.78"",""Health Care"",""BE0003818359"",""Euronext Amsterdam"",""Belgium"",""EUR"""
"RHM,""RHEINMETALL AG"",""Equity"",""0.73"",""80.00"",""73,903.00"",""5,912,240.00"",""5,912,240.00"",""Industrials"",""DE0007030009"",""Xetra"",""Germany"",""EUR"""
"ELIS,""ELIS SA"",""Equity"",""0.71"",""17.35"",""335,191.00"",""5,815,563.85"",""5,815,563.85"",""Industrials"",""FR0012435121"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"ACKB,""ACKERMANS & VAN HAAREN NV"",""Equity"",""0.69"",""140.70"",""39,823.00"",""5,603,096.10"",""5,603,096.10"",""Financials"",""BE0003764785"",""Nyse Euronext - Euronext Brussels"",""Belgium"",""EUR"""
"CLNX,""CELLNEX TELECOM SA"",""Equity"",""0.68"",""21.69"",""255,328.00"",""5,538,064.32"",""5,538,064.32"",""Communication"",""ES0105066007"",""Bolsa De Madrid"",""Spain"",""EUR"""
"AALB,""AALBERTS INDUSTRIES NV"",""Equity"",""0.68"",""32.77"",""168,995.00"",""5,537,966.15"",""5,537,966.15"",""Industrials"",""NL0000852564"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"IMCD,""IMCD NV"",""Equity"",""0.66"",""60.85"",""88,330.00"",""5,374,880.50"",""5,374,880.50"",""Industrials"",""NL0010801007"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"ENX,""EURONEXT NV"",""Equity"",""0.65"",""56.20"",""94,028.00"",""5,284,373.60"",""5,284,373.60"",""Financials"",""NL0006294274"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"EUR,""EUR CASH"",""Cash"",""0.65"",""100.00"",""5,259,827.00"",""5,259,827.14"",""5,259,827.14"",""Cash and/or Derivatives"",""-"",""-"",""European Union"",""EUR"""
"KESKOB,""KESKO CLASS B"",""Equity"",""0.63"",""46.80"",""110,333.00"",""5,163,584.40"",""5,163,584.40"",""Consumer Staples"",""FI0009000202"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"UBI,""UNIONE DI BANCHE ITALIANE"",""Equity"",""0.63"",""2.98"",""1,729,484.00"",""5,146,944.38"",""5,146,944.38"",""Financials"",""IT0003487029"",""Borsa Italiana"",""Italy"",""EUR"""
"SPM,""SAIPEM"",""Equity"",""0.61"",""4.91"",""1,018,629.00"",""5,004,524.28"",""5,004,524.28"",""Energy"",""IT0005252140"",""Borsa Italiana"",""Italy"",""EUR"""
"GL9,""GLANBIA PLC"",""Equity"",""0.61"",""14.33"",""348,025.00"",""4,987,198.25"",""4,987,198.25"",""Consumer Staples"",""IE0000669501"",""Irish Stock Exchange - All Market"",""Ireland"",""EUR"""
"DIM,""SARTORIUS STEDIM BIOTECH SA"",""Equity"",""0.59"",""104.00"",""46,460.00"",""4,831,840.00"",""4,831,840.00"",""Health Care"",""FR0013154002"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"AFX,""CARL ZEISS MEDITEC AG"",""Equity"",""0.59"",""69.85"",""68,576.00"",""4,790,033.60"",""4,790,033.60"",""Health Care"",""DE0005313704"",""Xetra"",""Germany"",""EUR"""
"HUH1V,""HUHTAMAKI"",""Equity"",""0.58"",""26.35"",""180,963.00"",""4,768,375.05"",""4,768,375.05"",""Materials"",""FI0009000459"",""Nasdaq Omx Helsinki Ltd."",""Finland"",""EUR"""
"BAMI,""BANCO BPM"",""Equity"",""0.58"",""1.86"",""2,544,435.00"",""4,721,453.59"",""4,721,453.59"",""Financials"",""IT0005218380"",""Borsa Italiana"",""Italy"",""EUR"""
"SBMO,""SBM OFFSHORE NV"",""Equity"",""0.56"",""15.60"",""293,574.00"",""4,579,754.40"",""4,579,754.40"",""Energy"",""NL0000360618"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"MMB,""LAGARDERE"",""Equity"",""0.56"",""25.59"",""178,959.00"",""4,579,560.81"",""4,579,560.81"",""Communication"",""FR0000130213"",""Nyse Euronext - Euronext Paris"",""France"",""EUR"""
"MOR,""MORPHOSYS AG"",""Equity"",""0.55"",""84.10"",""53,666.00"",""4,513,310.60"",""4,513,310.60"",""Health Care"",""DE0006632003"",""Xetra"",""Germany"",""EUR"""
"SOF,""SOFINA S.A."",""Equity"",""0.55"",""170.40"",""26,281.00"",""4,478,282.40"",""4,478,282.40"",""Financials"",""BE0003717312"",""Nyse Euronext - Euronext Brussels"",""Belgium"",""EUR"""
"FNTN,""FREENET AG"",""Equity"",""0.52"",""19.84"",""215,058.00"",""4,266,750.72"",""4,266,750.72"",""Communication"",""DE000A0Z2ZZ5"",""Xetra"",""Germany"",""EUR"""
"GYC,""GRAND CITY PROPERTIES SA"",""Equity"",""0.52"",""21.62"",""196,673.00"",""4,252,070.26"",""4,252,070.26"",""Real Estate"",""LU0775917882"",""Xetra"",""Germany"",""EUR"""
"TEG,""TAG IMMOBILIEN AG"",""Equity"",""0.52"",""20.10"",""209,095.00"",""4,202,809.50"",""4,202,809.50"",""Real Estate"",""DE0008303504"",""Xetra"",""Germany"",""EUR"""
"LIGHT,""SIGNIFY NV"",""Equity"",""0.50"",""21.71"",""188,332.00"",""4,088,687.72"",""4,088,687.72"",""Industrials"",""NL0011821392"",""Euronext Amsterdam"",""Netherlands"",""EUR"""
"WIE,""WIENERBERGER AG"",""Equity"",""0.50"",""20.70"",""197,350.00"",""4,085,145.00"",""4,085,145.00"",""Materials"",""AT0000831706"",""Wiener Boerse Ag"",""Austria"",""EUR"""
"NEM,""NEMETSCHEK"",""Equity"",""0.50"",""123.90"",""32,826.00"",""4,067,141.40"",""4,067,141.40"",""Information Technology"",""DE0006452907"",""Xetra"",""Germany"",""EUR"""
