Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"FP","TOTAL SA","Equity","3.33","53.46","976,220","52,188,721","52,188,721.20","Energy","FR0000120271","Nyse Euronext - Euronext Paris","France","EUR"
"SAP","SAP","Equity","2.56","100.34","400,759","40,212,158","40,212,158.06","Information Technology","DE0007164600","Xetra","Germany","EUR"
"SAN","SANOFI SA","Equity","2.26","77.21","458,621","35,410,127","35,410,127.41","Health Care","FR0000120578","Nyse Euronext - Euronext Paris","France","EUR"
"ALV","ALLIANZ","Equity","2.11","184.34","179,552","33,098,616","33,098,615.68","Financials","DE0008404005","Xetra","Germany","EUR"
"SIE","SIEMENS N AG","Equity","2.04","102.26","312,147","31,920,152","31,920,152.22","Industrials","DE0007236101","Xetra","Germany","EUR"
"MC","LVMH","Equity","1.91","264.15","113,375","29,948,006","29,948,006.25","Consumer Discretionary","FR0000121014","Nyse Euronext - Euronext Paris","France","EUR"
"BAYN","BAYER AG","Equity","1.88","77.38","380,266","29,424,983","29,424,983.08","Health Care","DE000BAY0017","Xetra","Germany","EUR"
"UNA","UNILEVER DUTCH CERTIFICATES NV","Equity","1.86","46.42","629,881","29,239,076","29,239,076.02","Consumer Staples","NL0000009355","Euronext Amsterdam","Netherlands","EUR"
"SAN","BANCO SANTANDER SA","Equity","1.79","4.26","6,588,180","28,065,647","28,065,646.80","Financials","ES0113900J37","Bolsa De Madrid","Spain","EUR"
"ASML","ASML HOLDING NV","Equity","1.70","160.38","166,548","26,710,968","26,710,968.24","Information Technology","NL0010273215","Euronext Amsterdam","Netherlands","EUR"
"BAS","BASF N","Equity","1.65","69.02","374,938","25,878,221","25,878,220.76","Materials","DE000BASF111","Xetra","Germany","EUR"
"AIR","AIRBUS GROUP","Equity","1.53","100.86","237,691","23,973,514","23,973,514.26","Industrials","NL0000235190","Nyse Euronext - Euronext Paris","France","EUR"
"ABI","ANHEUSER BUSCH INBEV NV","Equity","1.45","72.79","311,282","22,658,217","22,658,216.78","Consumer Staples","BE0974293251","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"BNP","BNP PARIBAS SA","Equity","1.44","49.60","456,717","22,653,163","22,653,163.20","Financials","FR0000131104","Nyse Euronext - Euronext Paris","France","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Equity","1.25","14.40","1,363,612","19,629,195","19,629,194.74","Communication","DE0005557508","Xetra","Germany","EUR"
"DAI","DAIMLER AG","Equity","1.25","52.76","371,942","19,623,660","19,623,659.92","Consumer Discretionary","DE0007100000","Xetra","Germany","EUR"
"OR","LOREAL SA","Equity","1.24","187.75","103,224","19,380,306","19,380,306.00","Consumer Staples","FR0000120321","Nyse Euronext - Euronext Paris","France","EUR"
"AI","AIR LIQUIDE SA","Equity","1.19","106.70","175,337","18,708,458","18,708,457.90","Materials","FR0000120073","Nyse Euronext - Euronext Paris","France","EUR"
"CS","AXA SA","Equity","1.13","22.52","788,325","17,749,137","17,749,137.38","Financials","FR0000120628","Nyse Euronext - Euronext Paris","France","EUR"
"INGA","ING GROEP NV","Equity","1.09","10.78","1,590,107","17,147,714","17,147,713.89","Financials","NL0011821202","Euronext Amsterdam","Netherlands","EUR"
"ENI","ENI","Equity","1.04","15.58","1,041,677","16,233,494","16,233,494.37","Energy","IT0003132476","Borsa Italiana","Italy","EUR"
"DG","VINCI SA","Equity","1.03","78.44","206,680","16,211,979","16,211,979.20","Industrials","FR0000125486","Nyse Euronext - Euronext Paris","France","EUR"
"LINU","LINDE AG","Equity","1.01","207.50","76,096","15,789,920","15,789,920.00","Materials","DE000A2E4L75","Xetra","Germany","EUR"
"BN","DANONE SA","Equity","1.00","62.22","251,091","15,622,882","15,622,882.02","Consumer Staples","FR0000120644","Nyse Euronext - Euronext Paris","France","EUR"
"ADS","ADIDAS N AG","Equity","0.98","201.70","76,556","15,441,345","15,441,345.20","Consumer Discretionary","DE000A1EWWW0","Xetra","Germany","EUR"
"EUR","EUR CASH","Cash","0.98","100.00","15,295,761","15,295,761","15,295,761.22","Cash and/or Derivatives","-","-","European Union","EUR"
"IBE","IBERDROLA SA","Equity","0.96","6.18","2,430,373","15,009,984","15,009,983.65","Utilities","ES0144580Y14","Bolsa De Madrid","Spain","EUR"
"SAF","SAFRAN SA","Equity","0.95","109.95","135,587","14,907,791","14,907,790.65","Industrials","FR0000073272","Nyse Euronext - Euronext Paris","France","EUR"
"ENEL","ENEL","Equity","0.94","4.41","3,334,915","14,720,315","14,720,314.81","Utilities","IT0003128367","Borsa Italiana","Italy","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA","Equity","0.92","5.30","2,733,282","14,480,928","14,480,928.04","Financials","ES0113211835","Bolsa De Madrid","Spain","EUR"
"SU","SCHNEIDER ELECTRIC","Equity","0.89","62.96","222,715","14,022,136","14,022,136.40","Industrials","FR0000121972","Nyse Euronext - Euronext Paris","France","EUR"
