Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"RTO","RENTOKIL INITIAL PLC","Equity","1.74","3.15","734,431.00","2,311,254.36","2,311,254.36","Industrials","GB00B082RF11","London Stock Exchange","United Kingdom","GBP"
"SMDS","SMITH (DS) PLC","Equity","1.69","4.09","545,961.00","2,235,710.29","2,235,710.29","Materials","GB0008220112","London Stock Exchange","United Kingdom","GBP"
"HLMA","HALMA PLC","Equity","1.51","13.18","151,468.00","1,996,348.24","1,996,348.24","Information Technology","GB0004052071","London Stock Exchange","United Kingdom","GBP"
"SPX","SPIRAX-SARCO ENGINEERING PLC","Equity","1.45","65.70","29,317.00","1,926,126.90","1,926,126.90","Industrials","GB00BWFGQN14","London Stock Exchange","United Kingdom","GBP"
"HSX","HISCOX LTD","Equity","1.44","16.65","114,270.00","1,902,595.50","1,902,595.50","Financials","BMG4593F1389","London Stock Exchange","United Kingdom","GBP"
"OCDO","OCADO GROUP PLC","Equity","1.41","8.41","222,888.00","1,874,042.30","1,874,042.30","Consumer Discretionary","GB00B3MBS747","London Stock Exchange","United Kingdom","GBP"
"RMV","RIGHTMOVE PLC","Equity","1.18","4.30","362,750.00","1,558,192.62","1,558,192.62","Communication","GB00BGDT3G23","London Stock Exchange","United Kingdom","GBP"
"BME","B&M EUROPEAN VALUE RETAIL SA","Equity","1.07","3.92","362,786.00","1,423,572.26","1,423,572.26","Consumer Discretionary","LU1072616219","London Stock Exchange","United Kingdom","GBP"
"BWY","BELLWAY PLC","Equity","1.06","28.68","48,808.00","1,399,813.44","1,399,813.44","Consumer Discretionary","GB0000904986","London Stock Exchange","United Kingdom","GBP"
"CYBG","CYBG PLC","Equity","1.06","2.74","510,613.00","1,398,058.39","1,398,058.39","Financials","GB00BD6GN030","London Stock Exchange","United Kingdom","GBP"
"NXG","NEX GROUP PLC","Equity","1.05","10.67","130,034.00","1,387,462.78","1,387,462.78","Financials","GB00BZ02MH16","London Stock Exchange","United Kingdom","GBP"
"GBP","GBP CASH","Cash","1.03","100.00","1,366,311.00","1,366,310.64","1,366,310.64","Cash and/or Derivatives","-","-","United Kingdom","GBP"
"JE.","JUST EAT PLC","Equity","1.02","6.24","216,692.00","1,353,024.85","1,353,024.85","Consumer Discretionary","GB00BKX5CN86","London Stock Exchange","United Kingdom","GBP"
"PHNX","PHOENIX GROUP HOLDINGS","Equity","1.02","6.19","218,234.00","1,350,868.46","1,350,868.46","Financials","KYG7091M1096","London Stock Exchange","United Kingdom","GBP"
"TLW","TULLOW OIL PLC","Equity","1.01","2.40","558,951.00","1,339,246.60","1,339,246.60","Energy","GB0001500809","London Stock Exchange","United Kingdom","GBP"
"BUR","BURFORD CAPITAL LTD","Equity","1.01","16.80","79,700.00","1,338,960.00","1,338,960.00","Financials","GG00B4L84979","London Stock Exchange","United Kingdom","GBP"
"ASC","ASOS PLC","Equity","0.97","58.44","21,900.00","1,279,836.00","1,279,836.00","Consumer Discretionary","GB0030927254","London Stock Exchange","United Kingdom","GBP"
"SSPG","SSP GROUP PLC","Equity","0.96","6.78","186,901.00","1,266,254.28","1,266,254.28","Consumer Discretionary","GB00BFWK4V16","London Stock Exchange","United Kingdom","GBP"
"RPC","RPC GROUP PLC","Equity","0.94","7.72","160,921.00","1,242,953.80","1,242,953.80","Materials","GB0007197378","London Stock Exchange","United Kingdom","GBP"
"DLN","DERWENT LONDON REIT PLC","Equity","0.92","29.11","42,001.00","1,222,649.11","1,222,649.11","Real Estate","GB0002652740","London Stock Exchange","United Kingdom","GBP"
"PNN","PENNON GROUP PLC","Equity","0.91","7.11","169,094.00","1,202,258.34","1,202,258.34","Utilities","GB00B18V8630","London Stock Exchange","United Kingdom","GBP"
"TATE","TATE AND LYLE PLC","Equity","0.90","6.38","187,610.00","1,196,576.58","1,196,576.58","Consumer Staples","GB0008754136","London Stock Exchange","United Kingdom","GBP"
"CINE","CINEWORLD GROUP PLC","Equity","0.86","2.95","386,236.00","1,139,396.20","1,139,396.20","Communication","GB00B15FWH70","London Stock Exchange","United Kingdom","GBP"
"FEVR","FEVERTREE DRINKS PLC","Equity","0.86","28.83","39,507.00","1,138,986.81","1,138,986.81","Consumer Staples","GB00BRJ9BJ26","London Stock Exchange","United Kingdom","GBP"
"BEZ","BEAZLEY PLC","Equity","0.86","5.36","211,820.00","1,135,355.20","1,135,355.20","Financials","GB00BYQ0JC66","London Stock Exchange","United Kingdom","GBP"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Equity","0.85","9.57","116,956.00","1,119,853.70","1,119,853.70","Financials","GB00BYT1DJ19","London Stock Exchange","United Kingdom","GBP"
"IMI","IMI PLC","Equity","0.84","10.20","109,600.00","1,117,920.00","1,117,920.00","Industrials","GB00BGLP8L22","London Stock Exchange","United Kingdom","GBP"
"ECM","ELECTROCOMPONENTS PLC","Equity","0.84","6.23","178,210.00","1,109,535.46","1,109,535.46","Information Technology","GB0003096442","London Stock Exchange","United Kingdom","GBP"
