Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.44","316.22","8,893.00","2,812,144.46","2,812,144.46","Health Care","US94946T1060","New York Stock Exchange Inc.","United States","USD"
"DXCM","DEXCOM INC","Equity","0.33","132.64","15,908.00","2,110,037.12","2,110,037.12","Health Care","US2521311074","NASDAQ","United States","USD"
"PTC","PTC INC","Equity","0.32","97.56","21,175.00","2,065,833.00","2,065,833.00","Information Technology","US69370C1009","NASDAQ","United States","USD"
"NRG","NRG ENERGY INC","Equity","0.31","37.52","53,731.00","2,015,987.12","2,015,987.12","Utilities","US6293775085","New York Stock Exchange Inc.","United States","USD"
"LW","LAMB WESTON HOLDINGS INC","Equity","0.31","76.11","26,112.00","1,987,384.32","1,987,384.32","Consumer Staples","US5132721045","New York Stock Exchange Inc.","United States","USD"
"GRUB","GRUBHUB INC","Equity","0.30","120.62","16,229.00","1,957,541.98","1,957,541.98","Consumer Discretionary","US4001101025","New York Stock Exchange Inc.","United States","USD"
"BURL","BURLINGTON STORES INC","Equity","0.30","158.65","12,231.00","1,940,448.15","1,940,448.15","Consumer Discretionary","US1220171060","New York Stock Exchange Inc.","United States","USD"
"NBIX","NEUROCRINE BIOSCIENCES INC","Equity","0.29","114.69","16,121.00","1,848,917.49","1,848,917.49","Health Care","US64125C1099","NASDAQ","United States","USD"
"PKI","PERKINELMER INC","Equity","0.28","90.09","20,072.00","1,808,286.48","1,808,286.48","Health Care","US7140461093","New York Stock Exchange Inc.","United States","USD"
"STE","STERIS","Equity","0.26","110.01","15,491.00","1,704,164.91","1,704,164.91","Health Care","GB00BVVBC028","New York Stock Exchange Inc.","United States","USD"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.25","169.06","9,696.00","1,639,205.76","1,639,205.76","Information Technology","US9892071054","NASDAQ","United States","USD"
"SRPT","SAREPTA THERAPEUTICS INC","Equity","0.25","141.99","11,244.00","1,596,535.56","1,596,535.56","Health Care","US8036071004","NASDAQ","United States","USD"
