iShares MSCI Denmark ETF
Inception Date,"Jan 25, 2012"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"39,220,508.80"
Shares Outstanding,"650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NOVO B","NOVO NORDISK CLASS B","Equity","21.72","42.89","198,584.00","8,518,030.38","8,518,030.38","Health Care","BHC8X90","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"DANSKE","DANSKE BANK","Equity","6.00","21.96","107,096.00","2,352,150.75","2,352,150.75","Financials","4588825","DK0010274414","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"DSV","DSV A/S","Equity","5.85","84.93","26,996.00","2,292,878.12","2,292,878.12","Industrials","B1WT5G2","DK0060079531","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"CARL B","CARLSBERG AS CL B","Equity","4.70","115.39","15,960.00","1,841,581.34","1,841,581.34","Consumer Staples","4169219","DK0010181759","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"VWS","VESTAS WIND SYSTEMS","Equity","4.64","64.83","28,091.00","1,821,239.82","1,821,239.82","Industrials","5964651","DK0010268606","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"NZYM B","NOVOZYMES B","Equity","4.52","51.75","34,247.00","1,772,244.31","1,772,244.31","Materials","B798FW0","DK0060336014","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"ORSTED","ORSTED","Equity","4.42","63.19","27,404.00","1,731,611.74","1,731,611.74","Utilities","BYT16L4","DK0060094928","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"COLO B","COLOPLAST B","Equity","4.28","97.44","17,236.00","1,679,551.24","1,679,551.24","Health Care","B8FMRX8","DK0060448595","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"CHR","CHR HANSEN HOLDING","Equity","4.01","100.61","15,634.00","1,572,948.83","1,572,948.83","Materials","B573M11","DK0060227585","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"MAERSK B","A P MOLLER MAERSK B","Equity","3.20","1,328.65","946.00","1,256,898.95","1,256,898.95","Industrials","4253048","DK0010244508","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"GEN","GENMAB","Equity","3.08","137.92","8,752.00","1,207,116.20","1,207,116.20","Health Care","4595739","DK0010272202","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"PNDORA","PANDORA","Equity","2.68","67.74","15,516.00","1,050,993.36","1,050,993.36","Consumer Discretionary","B44XTX8","DK0060252690","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"GN","GN STORE NORD","Equity","2.62","43.58","23,562.00","1,026,939.16","1,026,939.16","Health Care","4501093","DK0010272632","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"ISS","ISS A S","Equity","2.18","34.83","24,530.00","854,389.42","854,389.42","Industrials","BKJ9RT5","DK0060542181","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"MAERSK A","A P MOLLER MAERSK","Equity","1.76","1,248.71","554.00","691,785.21","691,785.21","Industrials","4253059","DK0010244425","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"LUN","H LUNDBECK","Equity","1.67","62.66","10,461.00","655,492.03","655,492.03","Health Care","7085259","DK0010287234","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"RBREW","ROYAL UNIBREW","Equity","1.65","75.93","8,535.00","648,075.25","648,075.25","Consumer Staples","BX8ZX20","DK0060634707","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"WDH","WILLIAM DEMANT HOLDING","Equity","1.61","31.82","19,865.00","632,088.50","632,088.50","Health Care","BZ01RF1","DK0060738599","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"AMBU B","AMBU CLASS B","Equity","1.59","21.84","28,623.00","625,093.11","625,093.11","Health Care","BD9G333","DK0060946788","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"ROCK B","ROCKWOOL INTERNATIONAL B","Equity","1.58","381.21","1,627.00","620,228.01","620,228.01","Industrials","4713490","DK0010219153","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"SIM","SIMCORP","Equity","1.53","80.17","7,485.00","600,064.03","600,064.03","Information Technology","BBCR9N1","DK0060495240","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"TRYG","TRYG","Equity","1.39","23.95","22,691.00","543,444.28","543,444.28","Financials","BXDZ972","DK0060636678","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"DKK","DKK CASH","Cash","1.38","15.52","3,484,693.00","540,878.81","540,878.81","Cash and/or Derivatives","-","-","-","Denmark","USD","DKK","6.44"
"JYSK","JYSKE BANK","Equity","1.33","46.01","11,378.00","523,455.29","523,455.29","Financials","B0386J1","DK0010307958","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"TOP","TOPDANMARK","Equity","1.14","45.76","9,761.00","446,639.63","446,639.63","Financials","B94P973","DK0060477503","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"FLS","FLSMIDTH AND CO.","Equity","1.07","56.95","7,359.00","419,084.86","419,084.86","Industrials","5263574","DK0010234467","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"SYDB","SYDBANK","Equity","0.93","27.80","13,094.00","364,001.68","364,001.68","Financials","B06JSP1","DK0010311471","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"DFDS","DFDS","Equity","0.76","47.50","6,241.00","296,422.43","296,422.43","Industrials","BYSS4Q7","DK0060655629","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"ALK B","ALK-ABELLO B","Equity","0.71","161.11","1,730.00","278,726.92","278,726.92","Health Care","B0VL7C2","DK0060027142","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"PAAL B","PER AARSLEFF HOLDING CLASS B","Equity","0.59","34.85","6,596.00","229,843.62","229,843.62","Industrials","BYMM001","DK0060700516","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"SCHO","SCHOUW AND CO","Equity","0.56","80.63","2,700.00","217,713.21","217,713.21","Consumer Staples","5690859","DK0010253921","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"NLFSK","NILFISK HOLDING","Equity","0.55","41.44","5,189.00","215,045.52","215,045.52","Industrials","BZ01ZR9","DK0060907293","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"BO","BANG AND OLUFSEN","Equity","0.52","20.40","9,949.00","202,913.18","202,913.18","Consumer Discretionary","4161293","DK0010218429","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"SPNO","SPAR NORD BANK","Equity","0.46","8.63","21,025.00","181,445.52","181,445.52","Financials","B14LS01","DK0060036564","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"ALMB","ALM BRAND","Equity","0.45","8.40","20,991.00","176,264.91","176,264.91","Financials","4350024","DK0015250344","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"BAVA","BAVARIAN NORDIC","Equity","0.41","25.49","6,341.00","161,609.31","161,609.31","Health Care","5564619","DK0015998017","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
"STG","SCANDINAVIAN TOBACCO GROUP","Equity","0.38","14.65","10,259.00","150,318.52","150,318.52","Consumer Staples","BYZGMM6","DK0060696300","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.44"
