iShares MSCI EAFE ETF
Inception Date,"Aug 14, 2001"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"66,311,988,220.92"
Shares Outstanding,"1,028,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NESN","NESTLE SA","Equity","1.83","80.87","14,977,780.00","1,211,236,687.24","1,211,236,687.24","Consumer Staples","7123870","CH0038863350","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"NOVN","NOVARTIS AG","Equity","1.34","84.95","10,437,016.00","886,632,286.21","886,632,286.21","Health Care","7103065","CH0012005267","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"ROG","ROCHE HOLDING PAR AG","Equity","1.24","243.04","3,381,435.00","821,827,925.49","821,827,925.49","Health Care","7110388","CH0012032048","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"HSBA","HSBC HOLDINGS PLC","Equity","1.20","8.24","96,335,522.00","794,127,617.95","794,127,617.95","Financials","0540528","GB0005405286","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RDSA","ROYAL DUTCH SHELL PLC","Equity","1.10","33.09","22,113,105.00","731,773,559.87","731,773,559.87","Energy","B03MLX2","GB00B03MLX29","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"FP","TOTAL SA","Equity","1.09","62.33","11,545,215.00","719,569,967.94","719,569,967.94","Energy","B15C557","FR0000120271","Nyse Euronext - Euronext Paris","France","USD","EUR","0.86"
"BP.","BP PLC","Equity","1.07","7.40","95,808,254.00","708,904,533.60","708,904,533.60","Energy","0798059","GB0007980591","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"7203","TOYOTA MOTOR CORP","Equity","0.96","58.12","10,969,664.00","637,563,147.60","637,563,147.60","Consumer Discretionary","6900643","JP3633400001","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Equity","0.91","33.63","17,994,147.00","605,095,078.75","605,095,078.75","Energy","B03MM40","GB00B03MM408","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SAP","SAP","Equity","0.83","116.92","4,721,696.00","552,045,246.93","552,045,246.93","Information Technology","4846288","DE0007164600","Xetra","Germany","USD","EUR","0.86"
"SAN","SANOFI SA","Equity","0.72","88.49","5,408,261.00","478,558,630.51","478,558,630.51","Health Care","5671735","FR0000120578","Nyse Euronext - Euronext Paris","France","USD","EUR","0.86"
"GSK","GLAXOSMITHKLINE PLC","Equity","0.71","19.63","23,837,521.00","467,949,678.76","467,949,678.76","Health Care","0925288","GB0009252882","London Stock Exchange","United Kingdom","USD","GBP","0.76"
