iShares MSCI Finland ETF
Inception Date,"Jan 25, 2012"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"39,201,426.47"
Shares Outstanding,"1,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NOKIA","NOKIA","Equity","16.08","5.42","1,166,917.00","6,325,661.07","6,325,661.07","Information Technology","5902941","FI0009000681","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"SAMPO","SAMPO","Equity","11.08","48.61","89,707.00","4,361,100.33","4,361,100.33","Financials","5226038","FI0009003305","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"UPM","UPM-KYMMENE","Equity","9.58","35.37","106,587.00","3,769,646.12","3,769,646.12","Materials","5051252","FI0009005987","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"KNEBV","KONE","Equity","8.27","48.82","66,682.00","3,255,641.16","3,255,641.16","Industrials","B09M9D2","FI0009013403","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"NESTE","NESTE","Equity","4.57","83.17","21,631.00","1,799,075.17","1,799,075.17","Energy","B06YV46","FI0009013296","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"STERV","STORA ENSO CLASS R","Equity","4.47","16.69","105,285.00","1,756,943.49","1,756,943.49","Materials","5072673","FI0009005961","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"FORTUM","FORTUM","Equity","4.30","22.83","74,080.00","1,691,317.20","1,691,317.20","Utilities","5579550","FI0009007132","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"WRT1V","WARTSILA","Equity","3.89","17.32","88,253.00","1,528,932.74","1,528,932.74","Industrials","4525189","FI0009003727","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"ELISA","ELISA","Equity","3.66","43.24","33,295.00","1,439,728.64","1,439,728.64","Communication","5701513","FI0009007884","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"AMEAS","AMER SPORTS","Equity","2.93","40.17","28,729.00","1,154,123.06","1,154,123.06","Consumer Discretionary","4024006","FI0009000285","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"NRE1V","NOKIAN RENKAAT OYJ","Equity","2.78","39.33","27,838.00","1,094,795.55","1,094,795.55","Consumer Discretionary","B07G378","FI0009005318","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"METSO","METSO","Equity","2.38","34.48","27,209.00","938,034.32","938,034.32","Industrials","5713422","FI0009007835","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"ORNBV","ORION CLASS B","Equity","2.34","36.02","25,597.00","921,885.04","921,885.04","Health Care","B17NY40","FI0009014377","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"KESKOB","KESKO CLASS B","Equity","2.22","55.39","15,792.00","874,711.48","874,711.48","Consumer Staples","4490005","FI0009000202","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"HUH1V","HUHTAMAKI","Equity","2.00","30.11","26,151.00","787,388.30","787,388.30","Materials","4447476","FI0009000459","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"VALMT","VALMET","Equity","1.83","22.14","32,444.00","718,372.32","718,372.32","Industrials","BH6XZT5","FI4000074984","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"KCR","KONECRANES","Equity","1.46","33.78","17,037.00","575,515.29","575,515.29","Industrials","B11WFP1","FI0009005870","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"METSB","METSA BOARD CLASS B","Equity","1.16","8.91","51,376.00","457,524.06","457,524.06","Materials","5071432","FI0009000665","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"OUT1V","OUTOKUMPU","Equity","1.13","5.34","83,488.00","446,193.33","446,193.33","Materials","4665148","FI0009002422","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"CGCBV","CARGOTEC OYJ","Equity","1.13","42.82","10,366.00","443,920.73","443,920.73","Industrials","B09M9L0","FI0009013429","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"TIETO","TIETO","Equity","1.12","29.30","14,991.00","439,216.29","439,216.29","Information Technology","5479702","FI0009000277","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"DNA","DNA OYJ","Equity","0.99","22.78","17,178.00","391,294.97","391,294.97","Communication","BD8N722","FI4000062385","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"EUR","EUR CASH","Cash","0.96","115.81","325,651.00","377,120.59","377,120.59","Cash and/or Derivatives","-","-","-","European Union","USD","EUR","0.86"
"KEMIRA","KEMIRA","Equity","0.93","12.60","29,119.00","366,887.29","366,887.29","Materials","4513612","FI0009004824","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"YIT","YIT","Equity","0.79","6.38","48,631.00","310,307.38","310,307.38","Industrials","B11BQV1","FI0009800643","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"CRA1V","CRAMO OYJ","Equity","0.71","21.67","12,894.00","279,375.79","279,375.79","Industrials","4722667","FI0009900476","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"OTE1V","OUTOTEC","Equity","0.69","6.18","44,191.00","273,276.57","273,276.57","Industrials","B1FN8X9","FI0009014575","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"SAA1V","SANOMA","Equity","0.66","10.39","25,039.00","260,097.83","260,097.83","Communication","5964640","FI0009007694","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"CTY1S","CITYCON","Equity","0.61","1.96","122,201.00","239,160.13","239,160.13","Real Estate","4491097","FI0009002471","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"UPONOR","UPONOR OYJ","Equity","0.56","12.11","18,054.00","218,691.77","218,691.77","Industrials","5232671","FI0009002158","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"RMR1V","RAMIRENT OYJ","Equity","0.55","7.86","27,717.00","217,782.70","217,782.70","Industrials","5457173","FI0009007066","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"CAV1V","CAVERION","Equity","0.55","6.92","31,174.00","215,703.78","215,703.78","Industrials","BBP6J80","FI4000062781","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"TIK1V","TIKKURILA OYJ","Equity","0.53","15.43","13,616.00","210,029.88","210,029.88","Materials","B61QPN6","FI4000008719","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"TOKMAN","TOKMANNI GROUP CORPORATION","Equity","0.45","8.52","20,700.00","176,431.23","176,431.23","Consumer Discretionary","BD3CWG3","FI4000197934","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"OKDBV","ORIOLA CORPORATION B","Equity","0.43","3.06","55,982.00","171,151.08","171,151.08","Health Care","B17NY95","FI0009014351","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
"PON1V","PONSSE OYJ","Equity","0.43","33.64","5,053.00","169,989.75","169,989.75","Industrials","B125V73","FI0009005078","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.86"
