iShares MSCI Ireland ETF
Inception Date,"May 05, 2010"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"64,567,856.61"
Shares Outstanding,"1,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"CRG","CRH PLC","Equity","22.57","31.38","464,373.00","14,573,489.84","14,573,489.84","Materials","4182249","IE0001827041","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"KRZ","KERRY GROUP PLC","Equity","15.91","108.86","94,397.00","10,275,745.91","10,275,745.91","Consumer Staples","4519579","IE0004906560","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"SK3","SMURFIT KAPPA GROUP PLC","Equity","6.38","34.23","120,393.00","4,121,288.12","4,121,288.12","Materials","B1RR828","IE00B1RR8406","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"ICLR","ICON PLC","Equity","4.94","149.16","21,399.00","3,191,874.84","3,191,874.84","Health Care","B94G471","IE0005711209","NASDAQ","United States","USD","USD","1.00"
"KRX","KINGSPAN GROUP PLC","Equity","4.65","45.37","66,227.00","3,004,877.87","3,004,877.87","Industrials","4491235","IE0004927939","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"PPB","PADDY POWER BETFAIR PLC","Equity","4.51","86.74","33,572.00","2,911,966.29","2,911,966.29","Consumer Discretionary","BWT6H89","IE00BWT6H894","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"A5G","AIB GROUP","Equity","4.46","5.21","552,914.00","2,881,359.26","2,881,359.26","Financials","BF0L353","IE00BF0L3536","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"BIRG","BANK OF IRELAND GROUP PLC","Equity","4.25","7.50","365,354.00","2,741,676.33","2,741,676.33","Financials","BD1RP61","IE00BD1RP616","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"GL9","GLANBIA PLC","Equity","3.80","16.51","148,618.00","2,454,246.89","2,454,246.89","Consumer Staples","4058629","IE0000669501","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"GFTU","GRAFTON GROUP UNITS PLC","Equity","2.98","9.35","205,639.00","1,923,348.56","1,923,348.56","Industrials","B00MZ44","IE00B00MZ448","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"UDG","UDG HEALTHCARE COMPANY","Equity","2.77","8.36","213,786.00","1,787,731.23","1,787,731.23","Health Care","3302480","IE0033024807","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RYAAY","RYANAIR HOLDINGS ADR REPRESENTING","Equity","2.64","80.46","21,190.00","1,704,947.40","1,704,947.40","Industrials","BYYN585","US7835132033","NASDAQ","Ireland","USD","USD","1.00"
"GCC","C C GROUP PLC","Equity","2.39","4.02","383,890.00","1,542,636.44","1,542,636.44","Consumer Staples","B011Y09","IE00B010DT83","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"DHG","DALATA HOTEL GROUP PLC","Equity","2.26","6.95","210,109.00","1,459,900.36","1,459,900.36","Consumer Discretionary","BJMZDW8","IE00BJMZDW83","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"GN1","GREEN REIT PLC","Equity","2.05","1.70","775,893.00","1,322,625.69","1,322,625.69","Real Estate","BBR67J5","IE00BBR67J55","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"HBRN","HIBERNIA REIT PLC","Equity","2.05","1.63","812,536.00","1,321,104.07","1,321,104.07","Real Estate","BGHQ198","IE00BGHQ1986","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"IR5B","IRISH CONTINENTAL GROUP UNITS PLC","Equity","1.80","5.92","196,222.00","1,161,170.27","1,161,170.27","Industrials","BLP5857","IE00BLP58571","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
"C5H","CAIRN HOMES PLC","Equity","1.65","1.67","638,463.00","1,064,695.79","1,064,695.79","Consumer Discretionary","BF2NP06","IE00BWY4ZF18","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.86"
