iShares MSCI Israel ETF
Inception Date,"Mar 26, 2008"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"120,384,119.13"
Shares Outstanding,"2,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"TEVA","TEVA PHARMACEUTICAL INDUSTRIES ADR","Equity","17.39","22.26","940,442.00","20,934,238.92","20,934,238.92","Health Care","2883878","US8816242098","New York Stock Exchange Inc.","Israel","USD","USD","1.00"
"CHKP","CHECK POINT SOFTWARE TECHNOLOGIES","Equity","12.12","113.30","128,838.00","14,597,345.40","14,597,345.40","Information Technology","2181334","IL0010824113","NASDAQ","Israel","USD","USD","1.00"
"LUMI","BANK LEUMI LE ISRAEL","Equity","7.99","6.37","1,511,220.00","9,619,948.26","9,619,948.26","Financials","6076425","IL0006046119","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"POLI","BANK HAPOALIM B.M.","Equity","6.17","7.00","1,062,053.00","7,434,429.33","7,434,429.33","Financials","6075808","IL0006625771","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"NICE","NICE LTD","Equity","4.42","106.33","50,090.00","5,326,206.40","5,326,206.40","Information Technology","6647133","IL0002730112","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"DSCT","ISRAEL DISCOUNT BANK LTD","Equity","3.45","3.35","1,238,308.00","4,148,777.28","4,148,777.28","Financials","6451271","IL0006912120","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"ICL","ICL-ISRAEL CHEMICALS LTD.","Equity","3.32","6.21","644,398.00","3,999,394.41","3,999,394.41","Materials","6455530","IL0002810146","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"WIX","WIX.COM LTD","Equity","3.12","102.36","36,683.00","3,754,871.88","3,754,871.88","Information Technology","BFZCHN7","IL0011301780","NASDAQ","Israel","USD","USD","1.00"
"ESLT","ELBIT SYSTEMS LTD.","Equity","2.58","121.27","25,619.00","3,106,868.35","3,106,868.35","Industrials","6308913","IL0010811243","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"ORBK","ORBOTECH LTD","Equity","2.34","56.10","50,129.00","2,812,236.90","2,812,236.90","Information Technology","2661784","IL0010823388","NASDAQ","Israel","USD","USD","1.00"
"MZTF","MIZRAHI TEFAHOT BANK LTD.","Equity","2.21","17.24","154,071.00","2,655,433.61","2,655,433.61","Financials","6916703","IL0006954379","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"SODA","SODASTREAM INTERNATIONAL LTD","Equity","2.20","142.90","18,524.00","2,647,079.60","2,647,079.60","Consumer Discretionary","B5N90N1","IL0011213001","NASDAQ","Israel","USD","USD","1.00"
"BEZQ","BEZEQ ISRAELI TELECOMMUNICATION CO","Equity","2.12","1.12","2,279,210.00","2,553,736.69","2,553,736.69","Communication","6098032","IL0002300114","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"AZRG","AZRIELI GROUP LTD.","Equity","1.94","49.46","47,224.00","2,335,651.78","2,335,651.78","Real Estate","B5MN1W0","IL0011194789","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"CYBR","CYBER ARK SOFTWARE LTD","Equity","1.67","71.73","28,108.00","2,016,186.84","2,016,186.84","Information Technology","BQT3XY6","IL0011334468","NASDAQ","Israel","USD","USD","1.00"
"TSEM","TOWER SEMICONDUCTOR LTD.","Equity","1.62","20.18","96,662.00","1,951,071.16","1,951,071.16","Information Technology","6320605","IL0010823792","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"ILCO","ISRAEL CORP. LTD.","Equity","1.12","321.85","4,196.00","1,350,500.36","1,350,500.36","Materials","6889678","IL0005760173","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"PZOL","PAZ OIL CO. LTD.","Equity","1.06","153.87","8,292.00","1,275,884.99","1,275,884.99","Energy","B1L3K60","IL0011000077","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"STRS","STRAUSS GROUP LTD.","Equity","1.01","22.60","53,739.00","1,214,565.74","1,214,565.74","Consumer Staples","6304115","IL0007460160","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"ALHE","ALONY HETZ PROPERTIES & INVESTMENT","Equity","1.01","9.86","122,889.00","1,212,218.62","1,212,218.62","Real Estate","6013154","IL0003900136","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"FTIN","FIRST INTERNATIONAL BANK OF ISRAEL","Equity","0.93","21.72","51,798.00","1,125,035.38","1,125,035.38","Financials","6123815","IL0005930388","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"RDWR","RADWARE LTD","Equity","0.93","23.44","47,672.00","1,117,431.68","1,117,431.68","Information Technology","2494548","IL0010834765","NASDAQ","Israel","USD","USD","1.00"
"ARPT","AIRPORT CITY LTD.","Equity","0.92","11.81","94,119.00","1,111,415.38","1,111,415.38","Real Estate","B0Z7M21","IL0010958358","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"HARL","HAREL INSURANCE INVESTMENTS & FINA","Equity","0.85","7.69","133,061.00","1,023,152.63","1,023,152.63","Financials","6410700","IL0005850180","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"GZT","GAZIT GLOBE LTD","Equity","0.83","8.59","116,004.00","996,167.70","996,167.70","Real Estate","6585396","IL0001260111","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"MZOR","MAZOR ROBOTICS LTD.","Equity","0.79","28.86","32,965.00","951,453.15","951,453.15","Health Care","B2473R8","IL0011068553","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"DLEKG","DELEK GROUP LTD.","Equity","0.75","176.58","5,103.00","901,089.97","901,089.97","Energy","6219640","IL0010841281","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"MLSR","MELISRON LTD","Equity","0.73","41.74","21,193.00","884,642.17","884,642.17","Real Estate","6565310","IL0003230146","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"ORL","OIL REFINERIES LTD.","Equity","0.70","0.49","1,735,804.00","843,734.03","843,734.03","Energy","B1S0581","IL0025902482","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"RIT1","REIT 1 LTD.","Equity","0.69","4.08","204,747.00","834,416.84","834,416.84","Real Estate","B1NYV46","IL0010989205","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"AMOT","AMOT INVESTMENTS LTD.","Equity","0.66","5.16","154,406.00","796,326.87","796,326.87","Real Estate","B18MCB9","IL0010972789","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"ITRN","ITURAN LOCATION AND CONTROL LTD","Equity","0.60","33.85","21,284.00","720,463.40","720,463.40","Information Technology","B0LNCS9","IL0010818685","NASDAQ","Israel","USD","USD","1.00"
"PTNR","PARTNER COMMUNICATIONS CO. LTD.","Equity","0.59","5.04","141,836.00","714,360.48","714,360.48","Communication","6374420","IL0010834849","Tel Aviv Stock Exchange","Israel","USD","ILS","3.64"
"KRNT","KORNIT DIGITAL LTD","Equity","0.59","19.95","35,368.00","705,591.60","705,591.60","Industrials","BWFRFD7","IL0011216723","NASDAQ","Israel","USD","USD","1.00"
