Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"FP","TOTAL SA","Equity","4.17","53.46","90,127.00","4,818,189.42","4,818,189.42","Energy","FR0000120271","Nyse Euronext - Euronext Paris","France","EUR"
"SAP","SAP","Equity","3.21","100.34","37,020.00","3,714,586.80","3,714,586.80","Information Technology","DE0007164600","Xetra","Germany","EUR"
"SAN","SANOFI SA","Equity","2.83","77.21","42,340.00","3,269,071.40","3,269,071.40","Health Care","FR0000120578","Nyse Euronext - Euronext Paris","France","EUR"
"ALV","ALLIANZ","Equity","2.64","184.34","16,583.00","3,056,910.22","3,056,910.22","Financials","DE0008404005","Xetra","Germany","EUR"
"SIE","SIEMENS N AG","Equity","2.55","102.26","28,816.00","2,946,724.16","2,946,724.16","Industrials","DE0007236101","Xetra","Germany","EUR"
"MC","LVMH","Equity","2.39","264.15","10,463.00","2,763,801.45","2,763,801.45","Consumer Discretionary","FR0000121014","Nyse Euronext - Euronext Paris","France","EUR"
"BAYN","BAYER AG","Equity","2.35","77.38","35,126.00","2,718,049.88","2,718,049.88","Health Care","DE000BAY0017","Xetra","Germany","EUR"
"UNA","UNILEVER DUTCH CERTIFICATES NV","Equity","2.34","46.42","58,140.00","2,698,858.80","2,698,858.80","Consumer Staples","NL0000009355","Euronext Amsterdam","Netherlands","EUR"
"SAN","BANCO SANTANDER SA","Equity","2.24","4.26","608,121.00","2,590,595.46","2,590,595.46","Financials","ES0113900J37","Bolsa De Madrid","Spain","EUR"
"ASML","ASML HOLDING NV","Equity","2.14","160.38","15,446.00","2,477,229.48","2,477,229.48","Information Technology","NL0010273215","Euronext Amsterdam","Netherlands","EUR"
"BAS","BASF N","Equity","2.07","69.02","34,609.00","2,388,713.18","2,388,713.18","Materials","DE000BASF111","Xetra","Germany","EUR"
"AIR","AIRBUS GROUP","Equity","1.91","100.86","21,930.00","2,211,859.80","2,211,859.80","Industrials","NL0000235190","Nyse Euronext - Euronext Paris","France","EUR"
"BNP","BNP PARIBAS SA","Equity","1.82","49.60","42,396.00","2,102,841.60","2,102,841.60","Financials","FR0000131104","Nyse Euronext - Euronext Paris","France","EUR"
"ABI","ANHEUSER BUSCH INBEV NV","Equity","1.81","72.79","28,728.00","2,091,111.12","2,091,111.12","Consumer Staples","BE0974293251","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"DAI","DAIMLER AG","Equity","1.57","52.76","34,329.00","1,811,198.04","1,811,198.04","Consumer Discretionary","DE0007100000","Xetra","Germany","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Equity","1.56","14.40","125,005.00","1,799,446.97","1,799,446.97","Communication","DE0005557508","Xetra","Germany","EUR"
"OR","LOREAL SA","Equity","1.55","187.75","9,522.00","1,787,755.50","1,787,755.50","Consumer Staples","FR0000120321","Nyse Euronext - Euronext Paris","France","EUR"
"AI","AIR LIQUIDE SA","Equity","1.49","106.70","16,182.00","1,726,619.40","1,726,619.40","Materials","FR0000120073","Nyse Euronext - Euronext Paris","France","EUR"
"CS","AXA SA","Equity","1.43","22.52","73,323.00","1,650,867.34","1,650,867.34","Financials","FR0000120628","Nyse Euronext - Euronext Paris","France","EUR"
"INGA","ING GROEP NV","Equity","1.37","10.78","146,765.00","1,582,713.76","1,582,713.76","Financials","NL0011821202","Euronext Amsterdam","Netherlands","EUR"
"ENI","ENI","Equity","1.30","15.58","96,152.00","1,498,432.77","1,498,432.77","Energy","IT0003132476","Borsa Italiana","Italy","EUR"
