Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"WDI","WIRECARD AG","Equity","2.71","177.00","44,221.00","7,827,117.00","7,827,117.00","Information Technology","DE0007472060","Xetra","Germany","EUR"
"VNA","VONOVIA SE","Equity","2.57","40.68","182,858.00","7,438,663.44","7,438,663.44","Real Estate","DE000A1ML7J1","Xetra","Germany","EUR"
"CAP","CAPGEMINI","Equity","2.22","105.95","60,633.00","6,424,066.35","6,424,066.35","Information Technology","FR0000125338","Nyse Euronext - Euronext Paris","France","EUR"
"UPM","UPM-KYMMENE","Equity","2.12","30.40","201,784.00","6,134,233.60","6,134,233.60","Materials","FI0009005987","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"LR","LEGRAND SA","Equity","2.05","58.88","100,868.00","5,939,107.84","5,939,107.84","Industrials","FR0010307819","Nyse Euronext - Euronext Paris","France","EUR"
"WKL","WOLTERS KLUWER NV","Equity","1.93","50.80","109,754.00","5,575,503.20","5,575,503.20","Industrials","NL0000395903","Euronext Amsterdam","Netherlands","EUR"
"DWNI","DEUTSCHE WOHNEN","Equity","1.90","41.06","134,081.00","5,505,365.86","5,505,365.86","Real Estate","DE000A0HN5C6","Xetra","Germany","EUR"
"KRZ","KERRY GROUP PLC","Equity","1.90","91.39","59,978.00","5,481,389.42","5,481,389.42","Consumer Staples","IE0004906560","Irish Stock Exchange - All Market","Ireland","EUR"
"RACE","FERRARI NV","Equity","1.62","102.15","45,937.00","4,692,464.55","4,692,464.55","Consumer Discretionary","NL0011585146","Borsa Italiana","Italy","EUR"
"UG","PEUGEOT SA","Equity","1.59","20.65","222,333.00","4,591,176.45","4,591,176.45","Consumer Discretionary","FR0000121501","Nyse Euronext - Euronext Paris","France","EUR"
"1COV","COVESTRO AG","Equity","1.53","61.00","72,725.00","4,436,225.00","4,436,225.00","Materials","DE0006062144","Xetra","Germany","EUR"
"NN","NN GROUP NV","Equity","1.52","38.87","113,196.00","4,399,928.52","4,399,928.52","Financials","NL0010773842","Euronext Amsterdam","Netherlands","EUR"
"STM","STMICROELECTRONICS NV","Equity","1.33","14.93","257,632.00","3,846,445.76","3,846,445.76","Information Technology","NL0000226223","Nyse Euronext - Euronext Paris","France","EUR"
"CNHI","CNH INDUSTRIAL NV","Equity","1.26","9.59","381,503.00","3,657,087.76","3,657,087.76","Industrials","NL0010545661","Borsa Italiana","Italy","EUR"
"ATO","ATOS","Equity","1.20","96.88","35,924.00","3,480,317.12","3,480,317.12","Information Technology","FR0000051732","Nyse Euronext - Euronext Paris","France","EUR"
"MTX","MTU AERO ENGINES HOLDING AG","Equity","1.20","175.70","19,694.00","3,460,235.80","3,460,235.80","Industrials","DE000A0D9PT0","Xetra","Germany","EUR"
"NESTE","NESTE","Equity","1.19","71.42","48,328.00","3,451,585.76","3,451,585.76","Energy","FI0009013296","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"VIE","VEOLIA ENVIRON. SA","Equity","1.18","16.89","202,304.00","3,415,903.04","3,415,903.04","Utilities","FR0000124141","Nyse Euronext - Euronext Paris","France","EUR"
"RWE","RWE AG","Equity","1.18","17.56","194,378.00","3,413,277.68","3,413,277.68","Utilities","DE0007037129","Xetra","Germany","EUR"
"SY1","SYMRISE AG","Equity","1.17","72.60","46,615.00","3,384,249.00","3,384,249.00","Materials","DE000SYM9999","Xetra","Germany","EUR"
"TEP","TELEPERFORMANCE","Equity","1.17","154.40","21,842.00","3,372,404.80","3,372,404.80","Industrials","FR0000051807","Nyse Euronext - Euronext Paris","France","EUR"
"UMI","UMICORE SA","Equity","1.16","42.51","79,165.00","3,365,304.15","3,365,304.15","Materials","BE0974320526","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"CBK","COMMERZBANK AG","Equity","1.14","8.73","378,690.00","3,307,099.77","3,307,099.77","Financials","DE000CBK1001","Xetra","Germany","EUR"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Equity","1.12","33.09","97,738.00","3,234,150.42","3,234,150.42","Industrials","ES0167050915","Bolsa De Madrid","Spain","EUR"
"AGS","AGEAS NV","Equity","1.06","44.53","68,679.00","3,058,275.87","3,058,275.87","Financials","BE0974264930","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"KPN","KONINKLIJKE KPN NV NV","Equity","1.04","2.37","1,272,009.00","3,017,205.35","3,017,205.35","Communication","NL0000009082","Euronext Amsterdam","Netherlands","EUR"
"SW","SODEXO SA","Equity","1.04","87.80","34,207.00","3,003,374.60","3,003,374.60","Consumer Discretionary","FR0000121220","Nyse Euronext - Euronext Paris","France","EUR"
"SOLB","SOLVAY SA","Equity","1.02","105.70","28,013.00","2,960,974.10","2,960,974.10","Materials","BE0003470755","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"AC","ACCOR SA","Equity","1.02","41.62","71,083.00","2,958,474.46","2,958,474.46","Consumer Discretionary","FR0000120404","Nyse Euronext - Euronext Paris","France","EUR"
"GALP","GALP ENERGIA SGPS SA","Equity","1.02","15.63","189,163.00","2,956,617.69","2,956,617.69","Energy","PTGAL0AM0009","Nyse Euronext - Euronext Lisbon","Portugal","EUR"
"STERV","STORA ENSO CLASS R","Equity","1.01","14.03","208,278.00","2,922,140.34","2,922,140.34","Materials","FI0009005961","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"REE","RED ELECTRICA SA","Equity","1.01","17.86","163,588.00","2,920,863.74","2,920,863.74","Utilities","ES0173093024","Bolsa De Madrid","Spain","EUR"
"FR","VALEO SA","Equity","0.99","31.88","90,073.00","2,871,527.24","2,871,527.24","Consumer Discretionary","FR0013176526","Nyse Euronext - Euronext Paris","France","EUR"
"SESG","SES SA FDR SA","Equity","0.98","20.64","137,390.00","2,835,729.60","2,835,729.60","Communication","LU0088087324","Nyse Euronext - Euronext Paris","France","EUR"
"EDEN","EDENRED","Equity","0.97","31.70","88,320.00","2,799,744.00","2,799,744.00","Industrials","FR0010908533","Nyse Euronext - Euronext Paris","France","EUR"
"BNR","BRENNTAG AG","Equity","0.96","47.38","58,393.00","2,766,660.34","2,766,660.34","Industrials","DE000A1DAHH0","Xetra","Germany","EUR"
"OMV","OMV AG","Equity","0.95","49.50","55,572.00","2,750,814.00","2,750,814.00","Energy","AT0000743059","Wiener Boerse Ag","Austria","EUR"
"FGR","EIFFAGE SA","Equity","0.94","90.34","30,217.00","2,729,803.78","2,729,803.78","Industrials","FR0000130452","Nyse Euronext - Euronext Paris","France","EUR"
"SAB","BANCO DE SABADELL SA","Equity","0.93","1.26","2,126,692.00","2,683,885.30","2,683,885.30","Financials","ES0113860A34","Bolsa De Madrid","Spain","EUR"
"HNR1","HANNOVER RUECK","Equity","0.93","118.50","22,615.00","2,679,877.50","2,679,877.50","Financials","DE0008402215","Xetra","Germany","EUR"
"UBI","UBISOFT ENTERTAINMENT SA CAT A","Equity","0.90","88.84","29,415.00","2,613,228.60","2,613,228.60","Communication","FR0000054470","Nyse Euronext - Euronext Paris","France","EUR"
"QIA","QIAGEN NV","Equity","0.90","30.47","85,449.00","2,603,631.03","2,603,631.03","Health Care","NL0012169213","Deutsche Boerse Xetra","Germany","EUR"
"GRF","GRIFOLS SA CLASS A","Equity","0.88","22.76","112,287.00","2,555,652.12","2,555,652.12","Health Care","ES0171996087","Bolsa De Madrid","Spain","EUR"
"AKE","ARKEMA","Equity","0.87","97.06","26,015.00","2,525,015.90","2,525,015.90","Materials","FR0010313833","Nyse Euronext - Euronext Paris","France","EUR"
"SCR","SCOR","Equity","0.87","40.93","61,499.00","2,517,154.07","2,517,154.07","Financials","FR0010411983","Nyse Euronext - Euronext Paris","France","EUR"
"SK3","SMURFIT KAPPA GROUP PLC","Equity","0.87","29.76","84,541.00","2,515,940.16","2,515,940.16","Materials","IE00B1RR8406","Irish Stock Exchange - All Market","Ireland","EUR"
"WRT1V","WARTSILA","Equity","0.86","14.79","167,719.00","2,479,725.42","2,479,725.42","Industrials","FI0009003727","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"PPB","PADDY POWER BETFAIR PLC","Equity","0.83","74.90","32,073.00","2,402,267.70","2,402,267.70","Consumer Discretionary","IE00BWT6H894","Irish Stock Exchange - All Market","Ireland","EUR"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Equity","0.83","4.51","531,477.00","2,398,024.22","2,398,024.22","Utilities","IT0003242622","Borsa Italiana","Italy","EUR"
