iShares MSCI Norway ETF
Inception Date,"Jan 23, 2012"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"36,731,360.33"
Shares Outstanding,"1,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"EQNR","EQUINOR","Equity","19.55","27.28","263,232.00","7,181,345.25","7,181,345.25","Energy","7133608","NO0010096985","Oslo Bors Asa","Norway","USD","NOK","8.15"
"DNB","DNB","Equity","11.75","19.94","216,426.00","4,314,761.63","4,314,761.63","Financials","4263304","NO0010031479","Oslo Bors Asa","Norway","USD","NOK","8.15"
"TEL","TELENOR","Equity","8.30","18.70","162,947.00","3,047,607.24","3,047,607.24","Communication","4732495","NO0010063308","Oslo Bors Asa","Norway","USD","NOK","8.15"
"MHG","MARINE HARVEST ASA","Equity","5.72","24.42","86,089.00","2,102,463.18","2,102,463.18","Consumer Staples","B02L486","NO0003054108","Oslo Bors Asa","Norway","USD","NOK","8.15"
"YAR","YARA INTERNATIONAL ASA","Equity","4.67","48.35","35,434.00","1,713,342.01","1,713,342.01","Materials","7751259","NO0010208051","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NHY","NORSK HYDRO","Equity","4.07","5.23","285,398.00","1,493,467.52","1,493,467.52","Materials","B11HK39","NO0005052605","Oslo Bors Asa","Norway","USD","NOK","8.15"
"ORK","ORKLA","Equity","3.88","8.33","171,242.00","1,426,106.00","1,426,106.00","Consumer Staples","B1VQF42","NO0003733800","Oslo Bors Asa","Norway","USD","NOK","8.15"
"STB","STOREBRAND","Equity","2.83","9.01","115,309.00","1,039,258.38","1,039,258.38","Financials","4852832","NO0003053605","Oslo Bors Asa","Norway","USD","NOK","8.15"
"AKERBP","AKER BP","Equity","2.71","37.33","26,646.00","994,761.33","994,761.33","Energy","B1L95G3","NO0010345853","Oslo Bors Asa","Norway","USD","NOK","8.15"
"TGS","TGS NOPEC GEOPHYSICAL","Equity","2.51","36.18","25,449.00","920,716.36","920,716.36","Energy","B15SLC4","NO0003078800","Oslo Bors Asa","Norway","USD","NOK","8.15"
"SUBC","SUBSEA SA","Equity","2.45","13.97","64,481.00","900,537.26","900,537.26","Energy","5258246","LU0075646355","Oslo Bors Asa","Norway","USD","NOK","8.15"
"GJF","GJENSIDIGE FORSIKRING","Equity","2.17","15.97","49,971.00","797,853.21","797,853.21","Financials","B4PH0C5","NO0010582521","Oslo Bors Asa","Norway","USD","NOK","8.15"
"SCHB","SCHIBSTED B","Equity","2.16","33.38","23,763.00","793,227.63","793,227.63","Communication","BWVFKQ3","NO0010736879","Oslo Bors Asa","Norway","USD","NOK","8.15"
"SALM","SALMAR ASA","Equity","1.92","53.97","13,075.00","705,707.26","705,707.26","Consumer Staples","B1W5NW2","NO0010310956","Oslo Bors Asa","Norway","USD","NOK","8.15"
"LSG","LEROY SEAFOOD GROUP","Equity","1.86","8.85","77,278.00","683,783.79","683,783.79","Consumer Staples","4691916","NO0003096208","Oslo Bors Asa","Norway","USD","NOK","8.15"
"BAKKA","BAKKAFROST","Equity","1.83","63.14","10,633.00","671,380.70","671,380.70","Consumer Staples","B6632T7","FO0000000179","Oslo Bors Asa","Norway","USD","NOK","8.15"
"AKER","AKER ASA","Equity","1.33","82.72","5,919.00","489,593.79","489,593.79","Financials","B02R4D9","NO0010234552","Oslo Bors Asa","Norway","USD","NOK","8.15"
"BDRILL","BORR DRILLING LTD","Equity","1.16","4.59","92,528.00","424,690.39","424,690.39","Energy","BYX3649","BMG1466R1088","Oslo Bors Asa","Norway","USD","NOK","8.15"
"AUSS","AUSTEVOLL SEAFOOD ASA","Equity","1.08","15.41","25,748.00","396,881.45","396,881.45","Consumer Staples","B16MKT5","NO0010073489","Oslo Bors Asa","Norway","USD","NOK","8.15"
"DNO","DNOORD","Equity","1.01","2.05","180,178.00","370,045.51","370,045.51","Energy","B15GGN4","NO0003921009","Oslo Bors Asa","Norway","USD","NOK","8.15"
"ENTRA","ENTRA","Equity","1.00","13.87","26,548.00","368,161.11","368,161.11","Real Estate","BRJ2VC4","NO0010716418","Oslo Bors Asa","Norway","USD","NOK","8.15"
"MING","SPAREBANK SMNS","Equity","0.99","10.65","34,181.00","364,109.62","364,109.62","Financials","B0LGG75","NO0006390301","Oslo Bors Asa","Norway","USD","NOK","8.15"
"PGS","PETROLEUM GEO SERVICES","Equity","0.88","3.94","81,908.00","322,770.84","322,770.84","Energy","B1L7YL5","NO0010199151","Oslo Bors Asa","Norway","USD","NOK","8.15"
"ATEA","ATEA ASA","Equity","0.86","14.19","22,330.00","316,792.01","316,792.01","Information Technology","B12TR11","NO0004822503","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NOFI","NORWEGIAN FINANS HOLDING","Equity","0.84","11.90","25,939.00","308,623.29","308,623.29","Financials","BNH7Q17","NO0010387004","Oslo Bors Asa","Norway","USD","NOK","8.15"
"AKSO","AKER SOLUTIONS","Equity","0.80","6.83","42,997.00","293,703.43","293,703.43","Energy","BQN1C50","NO0010716582","Oslo Bors Asa","Norway","USD","NOK","8.15"
"BRG","BORREGAARD","Equity","0.77","10.11","28,086.00","284,017.28","284,017.28","Materials","B8B6WX9","NO0010657505","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NONG","SPAREBANK NORD-NORGE","Equity","0.65","8.11","29,463.00","239,004.50","239,004.50","Financials","B06T259","NO0006000801","Oslo Bors Asa","Norway","USD","NOK","8.15"
"GOGL","GOLDEN OCEAN GROUP LTD","Equity","0.64","9.03","26,185.00","236,514.65","236,514.65","Industrials","BDCHQL2","BMG396372051","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NAS","NORWEGIAN AIR SHUTTLE","Equity","0.63","23.24","9,954.00","231,369.05","231,369.05","Industrials","7742123","NO0010196140","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NOD","NIC SEMICONDUCTOR","Equity","0.53","5.39","36,335.00","195,757.02","195,757.02","Information Technology","B00ZG06","NO0003055501","Oslo Bors Asa","Norway","USD","NOK","8.15"
"SBANK","SBANKEN","Equity","0.50","10.49","17,352.00","182,072.06","182,072.06","Financials","BYNZ5N7","NO0010739402","Oslo Bors Asa","Norway","USD","NOK","8.15"
"GSF","GRIEG SEAFOOD","Equity","0.49","15.48","11,637.00","180,087.59","180,087.59","Consumer Staples","B1Y1P66","NO0010365521","Oslo Bors Asa","Norway","USD","NOK","8.15"
"SSO","SCATEC SOLAR","Equity","0.49","7.22","24,767.00","178,722.15","178,722.15","Utilities","BQSSWW3","NO0010715139","Oslo Bors Asa","Norway","USD","NOK","8.15"
"FRO","FRONTLINE LTD","Equity","0.44","6.71","24,138.00","161,889.66","161,889.66","Energy","BDDJSX3","BMG3682E1921","Oslo Bors Asa","Norway","USD","NOK","8.15"
"BWO","BW OFFSHORE LTD","Equity","0.41","7.02","21,437.00","150,483.09","150,483.09","Energy","BYYNFR4","BMG1738J1247","Oslo Bors Asa","Norway","USD","NOK","8.15"
"OCY","OCEAN YIELD","Equity","0.40","8.08","18,274.00","147,566.30","147,566.30","Energy","BBH7MR1","NO0010657448","Oslo Bors Asa","Norway","USD","NOK","8.15"
"KOA","KONGSBERG AUTOMOTIVE","Equity","0.37","1.01","134,181.00","135,854.06","135,854.06","Consumer Discretionary","B04VNK9","NO0003033102","Oslo Bors Asa","Norway","USD","NOK","8.15"
"XXL","XXL","Equity","0.37","4.98","26,972.00","134,389.97","134,389.97","Consumer Discretionary","BQZHXB9","NO0010716863","Oslo Bors Asa","Norway","USD","NOK","8.15"
"EVRY","EVRY","Equity","0.35","3.70","34,385.00","127,228.38","127,228.38","Information Technology","5266045","NO0010019649","Oslo Bors Asa","Norway","USD","NOK","8.15"
"SNI","STOLT-NIELSEN LTD","Equity","0.33","14.63","8,234.00","120,452.21","120,452.21","Industrials","B4PKZG3","BMG850801025","Oslo Bors Asa","Norway","USD","NOK","8.15"
"AKA","AKASTOR","Equity","0.32","2.00","58,544.00","116,967.30","116,967.30","Energy","B1VLVW7","NO0010215684","Oslo Bors Asa","Norway","USD","NOK","8.15"
"BWLPG","BW LPG LTD","Equity","0.30","4.45","24,700.00","110,035.10","110,035.10","Energy","BGLPC98","BMG173841013","Oslo Bors Asa","Norway","USD","NOK","8.15"
"WALWIL","WALLENIUS WILHELMSEN","Equity","0.26","3.96","24,409.00","96,756.50","96,756.50","Industrials","B55WMQ5","NO0010571680","Oslo Bors Asa","Norway","USD","NOK","8.15"
"EPR","EUROPRIS","Equity","0.26","2.61","36,778.00","95,912.39","95,912.39","Consumer Discretionary","BZ07696","NO0010735343","Oslo Bors Asa","Norway","USD","NOK","8.15"
"ODL","ODFJELL DRILLING LTD","Equity","0.26","4.30","21,967.00","94,355.33","94,355.33","Energy","BDX87W2","BMG671801022","Oslo Bors Asa","Norway","USD","NOK","8.15"
"PROTCT","PROTECTOR FORSIKRING ASA","Equity","0.26","4.93","19,029.00","93,879.26","93,879.26","Financials","B182K93","NO0010209331","Oslo Bors Asa","Norway","USD","NOK","8.15"
"SBO","SELVAAG BOLIG ASA","Equity","0.25","4.60","19,736.00","90,706.54","90,706.54","Real Estate","B4V6DD8","NO0010612450","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NPRO","NORWEGIAN PROPERTY ASA","Equity","0.23","1.29","66,929.00","86,244.48","86,244.48","Real Estate","B15KGC5","NO0010317811","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NRS","NORWAY ROYAL SALMON","Equity","0.23","27.80","3,055.00","84,919.43","84,919.43","Consumer Staples","B3MVZM8","NO0010331838","Oslo Bors Asa","Norway","USD","NOK","8.15"
"B2H","B2HOLDING","Equity","0.22","1.86","43,440.00","80,926.22","80,926.22","Financials","BTC0J36","NO0010633951","Oslo Bors Asa","Norway","USD","NOK","8.15"
"SPOL","SPAREBANK OSTLANDET","Equity","0.22","10.75","7,437.00","79,952.04","79,952.04","Financials","BZ12WQ9","NO0010751910","Oslo Bors Asa","Norway","USD","NOK","8.15"
"AXA","AXACTOR","Equity","0.21","2.81","27,859.00","78,413.70","78,413.70","Financials","BF50RH5","SE0011309319","Oslo Bors Asa","Norway","USD","NOK","8.15"
"HLNG","HOEGH LNG HOLDINGS LTD","Equity","0.20","5.04","14,798.00","74,640.15","74,640.15","Energy","B58XPH7","BMG454221059","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NODL","NORTHERN DRILLING LTD","Equity","0.20","9.01","8,135.00","73,279.29","73,279.29","Energy","BD3FFZ2","BMG6624L1090","Oslo Bors Asa","Norway","USD","NOK","8.15"
"FLNG","FLEX LNG LTD","Equity","0.17","1.87","33,633.00","62,738.89","62,738.89","Energy","BYSYR99","BMG359471031","Oslo Bors Asa","Norway","USD","NOK","8.15"
"OTELLO","OTELLO CORPORATION","Equity","0.16","1.78","33,598.00","59,787.32","59,787.32","Communication","7057720","NO0010040611","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NANO","NORDIC NANOVECTOR","Equity","0.15","6.06","9,076.00","54,979.06","54,979.06","Health Care","BP26BK7","NO0010597883","Oslo Bors Asa","Norway","USD","NOK","8.15"
"REC","REC SILICON","Equity","0.12","0.06","665,532.00","42,349.21","42,349.21","Information Technology","B01VHW2","NO0010112675","Oslo Bors Asa","Norway","USD","NOK","8.15"
"GIG","GAMING INNOVATION GROUP INC","Equity","0.10","0.39","92,720.00","35,843.60","35,843.60","Consumer Discretionary","B04KFT9","US4593781051","Oslo Bors Asa","Norway","USD","NOK","8.15"
"KVAER","KVAERNER","Equity","0.10","1.63","21,593.00","35,244.58","35,244.58","Energy","B5VFQ00","NO0010605371","Oslo Bors Asa","Norway","USD","NOK","8.15"
"NOK","NOK CASH","Cash","0.06","12.27","181,964.00","22,331.30","22,331.30","Cash and/or Derivatives","-","-","-","Norway","USD","NOK","8.15"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.04","1.00","16,148.00","16,147.95","16,147.95","Cash and/or Derivatives","-","US0669224778","-","United States","USD","USD","1.00"
"USD","USD CASH","Cash","-0.02","100.00","-7,583.00","-7,582.82","-7,582.82","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
 
