iShares MSCI New Zealand ETF
Inception Date,"Sep 01, 2010"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"151,405,333.09"
Shares Outstanding,"3,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"FPH","FISHER & PAYKEL HEALTHCARE CORP. L","Equity","10.32","9.25","1,689,251.00","15,630,276.31","15,630,276.31","Health Care","6340250","NZFAPE0001S2","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"SPK","SPARK NEW ZEALAND LTD","Equity","9.15","2.57","5,401,092.00","13,856,258.48","13,856,258.48","Communication","6881436","NZTELE0001S4","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"ATM","THE A2 MILK COMPANY LTD","Equity","8.97","6.40","2,122,065.00","13,575,168.11","13,575,168.11","Consumer Staples","6287250","NZATME0002S8","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"AIA","AUCKLAND INTERNATIONAL AIRPORT LTD","Equity","8.50","4.55","2,829,157.00","12,874,220.39","12,874,220.39","Industrials","BKX3XG2","NZAIAE0002S6","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"FBU","FLETCHER BUILDING LIMITED","Equity","6.64","4.03","2,494,671.00","10,052,389.05","10,052,389.05","Materials","6341606","NZFBUE0001S0","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"CEN","CONTACT ENERGY LTD","Equity","4.66","3.71","1,902,456.00","7,051,243.89","7,051,243.89","Utilities","6152529","NZCENE0001S6","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"MEL","MERIDIAN ENERGY LTD","Equity","4.65","2.06","3,414,221.00","7,047,754.49","7,047,754.49","Utilities","BWFD052","NZMELE0002S7","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"RYM","RYMAN HEALTHCARE LTD","Equity","4.45","8.38","804,216.00","6,735,831.74","6,735,831.74","Health Care","6161525","NZRYME0001S4","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"SKC","SKY CITY ENTERTAINMENT GROUP LTD","Equity","3.71","2.57","2,189,336.00","5,616,642.99","5,616,642.99","Consumer Discretionary","6823193","NZSKCE0001S2","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"ZEL","Z ENERGY LTD","Equity","3.45","4.48","1,167,718.00","5,229,047.04","5,229,047.04","Energy","BCZVPY0","NZZELE0001S1","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"MCY","MERCURY NZ LTD","Equity","3.28","2.19","2,268,379.00","4,959,226.58","4,959,226.58","Utilities","B8W6K56","NZMRPE0001S2","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
"TME","TRADE ME GROUP LTD","Equity","2.85","3.26","1,324,245.00","4,314,297.51","4,314,297.51","Consumer Discretionary","B76CYL7","NZTMEE0003S8","New Zealand Exchange Ltd","New Zealand","USD","NZD","1.52"
