iShares MSCI Pacific ex Japan ETF
Inception Date,"Oct 25, 2001"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"2,173,373,399.05"
Shares Outstanding,"51,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"1299","AIA GROUP LTD","Equity","6.00","7.84","16,621,214.00","130,331,272.57","130,331,272.57","Financials","B4TX8S1","HK0000069689","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Equity","5.23","46.92","2,420,599.00","113,583,234.97","113,583,234.97","Financials","6215035","AU000000CBA7","Asx - All Markets","Australia","USD","AUD","1.40"
"BHP","BHP BILLITON LTD","Equity","4.92","24.19","4,418,102.00","106,856,016.16","106,856,016.16","Materials","6144690","AU000000BHP4","Asx - All Markets","Australia","USD","AUD","1.40"
"WBC","WESTPAC BANKING CORP","Equity","4.05","18.68","4,708,444.00","87,944,886.75","87,944,886.75","Financials","6076146","AU000000WBC1","Asx - All Markets","Australia","USD","AUD","1.40"
"CSL","CSL LTD","Equity","3.85","134.39","622,655.00","83,675,767.39","83,675,767.39","Health Care","6185495","AU000000CSL8","Asx - All Markets","Australia","USD","AUD","1.40"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","Equity","3.34","18.23","3,980,786.00","72,564,344.77","72,564,344.77","Financials","6065586","AU000000ANZ3","Asx - All Markets","Australia","USD","AUD","1.40"
"NAB","NATIONAL AUSTRALIA BANK LTD","Equity","3.15","18.29","3,745,774.00","68,520,911.88","68,520,911.88","Financials","6624608","AU000000NAB4","Asx - All Markets","Australia","USD","AUD","1.40"
"WES","WESFARMERS LTD","Equity","2.43","33.82","1,561,347.00","52,812,038.44","52,812,038.44","Consumer Staples","6948836","AU000000WES1","Asx - All Markets","Australia","USD","AUD","1.40"
"D05","DBS GROUP HOLDINGS LTD","Equity","2.00","17.65","2,466,600.00","43,526,650.89","43,526,650.89","Financials","6175203","SG1L01001701","Singapore Exchange","Singapore","USD","SGD","1.37"
"388","HONG KONG EXCHANGES AND CLEARING L","Equity","1.90","25.50","1,617,500.00","41,238,587.42","41,238,587.42","Financials","6267359","HK0388045442","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"1","CK HUTCHISON HOLDINGS LTD","Equity","1.74","10.30","3,676,732.00","37,885,106.58","37,885,106.58","Industrials","BW9P816","KYG217651051","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"MQG","MACQUARIE GROUP LTD DEF","Equity","1.67","81.65","445,387.00","36,367,787.10","36,367,787.10","Financials","B28YTC2","AU000000MQG1","Asx - All Markets","Australia","USD","AUD","1.40"
