Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"LONN","LONZA GROUP AG","Equity","1.37","285.40","27,553.00","7,863,614.33","7,863,614.33","Health Care","CH0013841017","Six Swiss Exchange Ag","Switzerland","CHF"
"WDI","WIRECARD AG","Equity","1.34","177.00","43,433.00","7,687,641.00","7,687,641.00","Information Technology","DE0007472060","Xetra","Germany","EUR"
"VNA","VONOVIA SE","Equity","1.27","40.68","179,656.00","7,308,406.08","7,308,406.08","Real Estate","DE000A1ML7J1","Xetra","Germany","EUR"
"GIVN","GIVAUDAN SA","Equity","1.21","2,035.20","3,418.00","6,956,306.03","6,956,306.03","Materials","CH0010645932","Six Swiss Exchange Ag","Switzerland","CHF"
"CAP","CAPGEMINI","Equity","1.09","105.95","59,336.00","6,286,649.20","6,286,649.20","Information Technology","FR0000125338","Nyse Euronext - Euronext Paris","France","EUR"
"EUR","EUR CASH","Cash","1.09","100.00","6,257,758.00","6,257,758.50","6,257,758.50","Cash and/or Derivatives","-","-","European Union","EUR"
"UPM","UPM-KYMMENE","Equity","1.04","30.40","197,492.00","6,003,756.80","6,003,756.80","Materials","FI0009005987","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"LR","LEGRAND SA","Equity","1.01","58.88","98,719.00","5,812,574.72","5,812,574.72","Industrials","FR0010307819","Nyse Euronext - Euronext Paris","France","EUR"
"LSE","LONDON STOCK EXCHANGE GROUP PLC","Equity","0.98","48.70","115,883.00","5,643,420.18","5,643,420.18","Financials","GB00B0SWJX34","London Stock Exchange","United Kingdom","GBP"
"WKL","WOLTERS KLUWER NV","Equity","0.94","50.80","106,904.00","5,430,723.20","5,430,723.20","Industrials","NL0000395903","Euronext Amsterdam","Netherlands","EUR"
"DWNI","DEUTSCHE WOHNEN","Equity","0.94","41.06","131,643.00","5,405,261.58","5,405,261.58","Real Estate","DE000A0HN5C6","Xetra","Germany","EUR"
