iShares MSCI Australia ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"1,201,290,917.46"
Shares Outstanding,"57,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Equity","9.03","46.92","2,312,034.00","108,488,973.63","108,488,973.63","Financials","6215035","AU000000CBA7","Asx - All Markets","Australia","USD","AUD","1.40"
"BHP","BHP BILLITON LTD","Equity","8.50","24.19","4,219,433.00","102,051,016.66","102,051,016.66","Materials","6144690","AU000000BHP4","Asx - All Markets","Australia","USD","AUD","1.40"
"WBC","WESTPAC BANKING CORP","Equity","6.99","18.68","4,497,520.00","84,005,222.76","84,005,222.76","Financials","6076146","AU000000WBC1","Asx - All Markets","Australia","USD","AUD","1.40"
"CSL","CSL LTD","Equity","6.65","134.39","594,351.00","79,872,121.84","79,872,121.84","Health Care","6185495","AU000000CSL8","Asx - All Markets","Australia","USD","AUD","1.40"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","Equity","5.77","18.23","3,802,465.00","69,313,794.12","69,313,794.12","Financials","6065586","AU000000ANZ3","Asx - All Markets","Australia","USD","AUD","1.40"
"NAB","NATIONAL AUSTRALIA BANK LTD","Equity","5.45","18.29","3,577,343.00","65,439,827.52","65,439,827.52","Financials","6624608","AU000000NAB4","Asx - All Markets","Australia","USD","AUD","1.40"
"WES","WESFARMERS LTD","Equity","4.19","33.82","1,489,609.00","50,385,524.66","50,385,524.66","Consumer Staples","6948836","AU000000WES1","Asx - All Markets","Australia","USD","AUD","1.40"
"MQG","MACQUARIE GROUP LTD DEF","Equity","2.89","81.65","424,826.00","34,688,891.96","34,688,891.96","Financials","B28YTC2","AU000000MQG1","Asx - All Markets","Australia","USD","AUD","1.40"
"WOW","WOOLWORTHS GROUP LTD","Equity","2.82","19.61","1,725,409.00","33,839,998.97","33,839,998.97","Consumer Staples","6981239","AU000000WOW2","Asx - All Markets","Australia","USD","AUD","1.40"
"WPL","WOODSIDE PETROLEUM LTD","Equity","2.62","25.61","1,229,891.00","31,501,019.85","31,501,019.85","Energy","6979728","AU000000WPL2","Asx - All Markets","Australia","USD","AUD","1.40"
"RIO","RIO TINTO LTD","Equity","2.53","56.15","541,819.00","30,422,332.25","30,422,332.25","Materials","6220103","AU000000RIO1","Asx - All Markets","Australia","USD","AUD","1.40"
"TCL","TRANSURBAN GROUP","Equity","2.20","7.68","3,435,557.00","26,398,326.99","26,398,326.99","Industrials","6200882","AU000000TCL6","Asx - All Markets","Australia","USD","AUD","1.40"
"SCG","SCENTRE GROUP","Equity","1.58","2.71","6,999,202.00","18,975,606.53","18,975,606.53","Real Estate","BLZH0Z7","AU000000SCG8","Asx - All Markets","Australia","USD","AUD","1.40"
"S32","SOUTH32 LTD","Equity","1.54","2.75","6,737,579.00","18,506,664.09","18,506,664.09","Materials","BWSW5D9","AU000000S320","Asx - All Markets","Australia","USD","AUD","1.40"
"SUN","SUNCORP GROUP LTD","Equity","1.40","9.86","1,707,203.00","16,832,815.01","16,832,815.01","Financials","6585084","AU000000SUN6","Asx - All Markets","Australia","USD","AUD","1.40"
"ALL","ARISTOCRAT LEISURE LTD","Equity","1.30","20.72","755,411.00","15,651,049.28","15,651,049.28","Consumer Discretionary","6253983","AU000000ALL7","Asx - All Markets","Australia","USD","AUD","1.40"
"BXB","BRAMBLES LTD","Equity","1.29","7.38","2,091,863.00","15,446,750.45","15,446,750.45","Industrials","B1FJ0C0","AU000000BXB1","Asx - All Markets","Australia","USD","AUD","1.40"
"IAG","INSURANCE AUSTRALIA GROUP LTD","Equity","1.28","4.92","3,111,474.00","15,317,179.76","15,317,179.76","Financials","6271026","AU000000IAG3","Asx - All Markets","Australia","USD","AUD","1.40"
"GMG","GOODMAN GROUP UNITS LTD","Equity","1.26","7.09","2,128,403.00","15,093,980.66","15,093,980.66","Real Estate","B03FYZ4","AU000000GMG2","Asx - All Markets","Australia","USD","AUD","1.40"
"NCM","NEWCREST MINING LTD","Equity","1.23","14.66","1,008,640.00","14,788,071.97","14,788,071.97","Materials","6637101","AU000000NCM7","Asx - All Markets","Australia","USD","AUD","1.40"
"QBE","QBE INSURANCE GROUP LTD","Equity","1.20","8.08","1,783,559.00","14,404,475.51","14,404,475.51","Financials","6715740","AU000000QBE9","Asx - All Markets","Australia","USD","AUD","1.40"
"AMC","AMCOR LTD","Equity","1.19","9.40","1,520,299.00","14,295,783.50","14,295,783.50","Materials","6066608","AU000000AMC4","Asx - All Markets","Australia","USD","AUD","1.40"
"ORG","ORIGIN ENERGY LTD","Equity","1.12","5.79","2,312,551.00","13,397,102.83","13,397,102.83","Energy","6214861","AU000000ORG5","Asx - All Markets","Australia","USD","AUD","1.40"
"TLS","TELSTRA CORPORATION LTD","Equity","1.00","2.19","5,474,676.00","11,991,136.31","11,991,136.31","Communication","6087289","AU000000TLS2","Asx - All Markets","Australia","USD","AUD","1.40"
"STO","SANTOS LTD","Equity","0.98","5.04","2,326,121.00","11,716,571.45","11,716,571.45","Energy","6776703","AU000000STO6","Asx - All Markets","Australia","USD","AUD","1.40"
"AGL","AGL ENERGY LTD","Equity","0.96","13.34","860,359.00","11,478,492.50","11,478,492.50","Utilities","BSS7GP5","AU000000AGL7","Asx - All Markets","Australia","USD","AUD","1.40"
"TWE","TREASURY WINE ESTATES LTD","Equity","0.91","11.53","944,161.00","10,885,564.51","10,885,564.51","Consumer Staples","B61JC67","AU000000TWE9","Asx - All Markets","Australia","USD","AUD","1.40"
"APA","APA GROUP UNITS","Equity","0.90","6.98","1,547,226.00","10,806,871.54","10,806,871.54","Utilities","6247306","AU000000APA1","Asx - All Markets","Australia","USD","AUD","1.40"
"OSH","OIL SEARCH LTD","Equity","0.89","5.97","1,799,085.00","10,743,373.71","10,743,373.71","Energy","6657604","PG0008579883","Asx - All Markets","Australia","USD","AUD","1.40"
"ASX","ASX LTD","Equity","0.88","41.47","254,148.00","10,540,241.50","10,540,241.50","Financials","6129222","AU000000ASX7","Asx - All Markets","Australia","USD","AUD","1.40"
"COH","COCHLEAR LTD","Equity","0.83","132.59","75,502.00","10,011,163.72","10,011,163.72","Health Care","6211798","AU000000COH5","Asx - All Markets","Australia","USD","AUD","1.40"
"LLC","LENDLEASE GROUP UNITS","Equity","0.79","12.53","757,540.00","9,490,598.99","9,490,598.99","Real Estate","6512004","AU000000LLC3","Asx - All Markets","Australia","USD","AUD","1.40"
