iShares MSCI Canada ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"2,869,714,158.50"
Shares Outstanding,"103,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"RY","ROYAL BANK OF CANADA","Equity","8.26","77.05","3,075,568.00","236,962,587.46","236,962,587.46","Financials","2754383","CA7800871021","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"TD","TORONTO DOMINION","Equity","7.92","57.90","3,923,473.00","227,188,347.66","227,188,347.66","Financials","2897222","CA8911605092","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"BNS","BANK OF NOVA SCOTIA","Equity","4.95","55.53","2,555,508.00","141,911,201.89","141,911,201.89","Financials","2076281","CA0641491075","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"CNR","CANADIAN NATIONAL RAILWAY","Equity","4.62","86.56","1,532,093.00","132,611,621.40","132,611,621.40","Industrials","2180632","CA1363751027","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"SU","SUNCOR ENERGY INC","Equity","4.43","36.85","3,450,221.00","127,126,040.09","127,126,040.09","Energy","B3NB1P2","CA8672241079","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"ENB","ENBRIDGE INC","Equity","4.21","33.44","3,613,512.00","120,822,879.01","120,822,879.01","Energy","2466149","CA29250N1050","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"BMO","BANK OF MONTREAL","Equity","3.85","80.29","1,376,565.00","110,529,602.55","110,529,602.55","Financials","2076009","CA0636711016","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Equity","2.94","89.99","937,349.00","84,350,540.09","84,350,540.09","Financials","2170525","CA1360691010","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"NTR","NUTRIEN LTD","Equity","2.67","55.84","1,374,091.00","76,730,261.25","76,730,261.25","Materials","BDRJLN0","CA67077M1086","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Equity","2.66","29.35","2,599,100.00","76,295,189.02","76,295,189.02","Energy","2171573","CA1363851017","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","Equity","2.64","42.28","1,792,360.00","75,782,117.05","75,782,117.05","Financials","2092599","CA1125851040","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"TRP","TRANSCANADA CORP","Equity","2.63","40.16","1,879,790.00","75,496,784.31","75,496,784.31","Energy","2665184","CA89353D1078","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"MFC","MANULIFE FINANCIAL CORP","Equity","2.28","15.51","4,227,100.00","65,555,180.52","65,555,180.52","Financials","2492519","CA56501R1064","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"CP","CANADIAN PACIFIC RAILWAY LTD","Equity","2.26","209.63","309,104.00","64,798,330.61","64,798,330.61","Industrials","2793115","CA13645T1003","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"SLF","SUN LIFE FINANCIAL INC","Equity","1.69","37.15","1,302,379.00","48,379,830.65","48,379,830.65","Financials","2566124","CA8667961053","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"ATD.B","ALIMENTATION COUCHE TARD SUB VOTIN","Equity","1.54","48.09","921,609.00","44,317,031.16","44,317,031.16","Consumer Staples","2011646","CA01626P4033","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Equity","1.38","51.43","772,492.00","39,732,425.79","39,732,425.79","Communication","2169051","CA7751092007","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"PPL","PEMBINA PIPELINE CORP","Equity","1.29","34.50","1,073,272.00","37,031,410.41","37,031,410.41","Energy","B4PT2P8","CA7063271034","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"MG","MAGNA INTERNATIONAL INC","Equity","1.26","49.30","731,717.00","36,073,902.66","36,073,902.66","Consumer Discretionary","2554475","CA5592224011","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"NA","NATIONAL BANK OF CANADA","Equity","1.20","47.21","729,133.00","34,418,910.69","34,418,910.69","Financials","2077303","CA6330671034","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"GIB.A","CGI GROUP CLASS A","Equity","1.18","62.41","544,619.00","33,990,793.87","33,990,793.87","Information Technology","2159740","CA39945C1095","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"ABX","BARRICK GOLD CORP","Equity","1.11","12.74","2,490,577.00","31,731,510.60","31,731,510.60","Materials","2024644","CA0679011084","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"CSU","CONSTELLATION SOFTWARE INC","Equity","1.07","716.77","42,895.00","30,745,782.99","30,745,782.99","Information Technology","B15C4L6","CA21037X1006","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Equity","1.06","510.68","59,535.00","30,403,583.26","30,403,583.26","Financials","2566351","CA3039011026","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"FTS","FORTIS INC","Equity","1.01","32.36","898,413.00","29,074,269.95","29,074,269.95","Utilities","2347200","CA3495531079","Toronto Stock Exchange","Canada","USD","CAD","1.29"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Equity","1.00","58.01","494,546.00","28,690,167.64","28,690,167.64","Consumer Discretionary","BTF8CF0","CA76131D1033","Toronto Stock Exchange","Canada","USD","CAD","1.29"
