iShares MSCI Sweden ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"244,354,540.22"
Shares Outstanding,"7,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NDA SE","NORDEA BANK","Equity","7.98","10.04","1,940,312.00","19,482,971.82","19,482,971.82","Financials","BYZF9J9","FI4000297767","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"ERIC B","ERICSSON B","Equity","6.86","8.65","1,936,799.00","16,747,233.13","16,747,233.13","Information Technology","5959378","SE0000108656","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"VOLVB","VOLVO CLASS B","Equity","6.23","15.32","993,449.00","15,219,986.31","15,219,986.31","Industrials","B1QH830","SE0000115446","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"SWED A","SWEDBANK","Equity","5.25","22.25","576,026.00","12,817,993.73","12,817,993.73","Financials","4846523","SE0000242455","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"SEK","SEK CASH","Cash","5.05","11.24","109,780,393.00","12,344,029.64","12,344,029.64","Cash and/or Derivatives","-","-","-","Sweden","USD","SEK","8.89"
"ASSA B","ASSA ABLOY B","Equity","4.98","19.28","630,907.00","12,166,387.49","12,166,387.49","Industrials","BYPC1T4","SE0007100581","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"INVE B","INVESTOR B","Equity","4.85","42.99","275,760.00","11,854,076.96","11,854,076.96","Financials","5679591","SE0000107419","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"HM B","HENNES & MAURITZ","Equity","4.58","18.51","604,661.00","11,195,209.96","11,195,209.96","Consumer Discretionary","5687431","SE0000106270","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"ATCO A","ATLAS COPCO CLASS A","Equity","4.51","25.76","427,618.00","11,015,728.95","11,015,728.95","Industrials","BD97BN2","SE0011166610","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Equity","4.44","11.86","915,009.00","10,849,360.09","10,849,360.09","Financials","BXDZ9Q1","SE0007100599","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Equity","4.36","10.54","1,010,199.00","10,647,902.29","10,647,902.29","Financials","4813345","SE0000148884","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"SAND","SANDVIK","Equity","4.22","16.19","637,518.00","10,318,968.68","10,318,968.68","Industrials","B1VQ252","SE0000667891","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"HEXA B","HEXAGON B","Equity","3.88","53.24","177,883.00","9,470,798.63","9,470,798.63","Information Technology","B1XFTL2","SE0000103699","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"ESSITY B","ESSITY CLASS B","Equity","3.78","24.51","377,167.00","9,245,328.67","9,245,328.67","Consumer Staples","BF1K7P7","SE0009922164","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"TELIA","TELIA COMPANY","Equity","3.71","4.67","1,942,694.00","9,065,351.95","9,065,351.95","Communication","5978384","SE0000667925","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"SWMA","SWEDISH MATCH","Equity","2.54","48.44","128,173.00","6,208,753.50","6,208,753.50","Consumer Staples","5048566","SE0000310336","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"ATCO B","ATLAS COPCO CLASS B","Equity","2.40","23.79","246,578.00","5,866,811.88","5,866,811.88","Industrials","BD97BS7","SE0011166628","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
"ALFA","ALFA LAVAL AB","Equity","2.23","25.59","212,687.00","5,443,088.27","5,443,088.27","Industrials","7332687","SE0000695876","Nasdaq Omx Nordic","Sweden","USD","SEK","8.89"
