iShares MSCI Germany Small-Cap ETF
Inception Date,"Jan 25, 2012"
Fund Holdings as of,"Oct 17, 2018"
Total Net Assets,"47,585,623.17"
Shares Outstanding,"850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"LEG","LEG IMMOBILIEN N AG","Equity","5.27","115.06","21,787.00","2,506,908.30","2,506,908.30","Real Estate","B9G6L89","DE000LEG1110","Xetra","Germany","USD","EUR","0.87"
"G24","SCOUT24 N AG","Equity","3.10","39.75","37,099.00","1,474,823.11","1,474,823.11","Communication","BYT9340","DE000A12DM80","Xetra","Germany","USD","EUR","0.87"
"RHM","RHEINMETALL AG","Equity","2.91","92.24","15,019.00","1,385,292.48","1,385,292.48","Industrials","5334588","DE0007030009","Xetra","Germany","USD","EUR","0.87"
"AFX","CARL ZEISS MEDITEC AG","Equity","2.35","80.53","13,877.00","1,117,564.18","1,117,564.18","Health Care","5922961","DE0005313704","Xetra","Germany","USD","EUR","0.87"
"MOR","MORPHOSYS AG","Equity","2.23","96.96","10,967.00","1,063,394.26","1,063,394.26","Health Care","5531000","DE0006632003","Xetra","Germany","USD","EUR","0.87"
"FNTN","FREENET AG","Equity","2.12","22.87","44,154.00","1,010,001.91","1,010,001.91","Communication","B1SK0S6","DE000A0Z2ZZ5","Xetra","Germany","USD","EUR","0.87"
"TEG","TAG IMMOBILIEN AG","Equity","2.09","23.17","42,935.00","994,988.36","994,988.36","Real Estate","5735631","DE0008303504","Xetra","Germany","USD","EUR","0.87"
"GYC","GRAND CITY PROPERTIES SA","Equity","2.08","24.93","39,772.00","991,387.85","991,387.85","Real Estate","B8K9X70","LU0775917882","Xetra","Germany","USD","EUR","0.87"
"BC8","BECHTLE AG","Equity","2.02","94.89","10,136.00","961,782.59","961,782.59","Information Technology","5932409","DE0005158703","Xetra","Germany","USD","EUR","0.87"
"NEM","NEMETSCHEK","Equity","1.99","142.85","6,638.00","948,241.65","948,241.65","Information Technology","5633962","DE0006452907","Xetra","Germany","USD","EUR","0.87"
"GLJ","GRENKE N AG","Equity","1.84","104.23","8,404.00","875,921.02","875,921.02","Financials","BYR4KP7","DE000A161N30","Xetra","Germany","USD","EUR","0.87"
"EVT","EVOTEC AG","Equity","1.82","19.99","43,219.00","863,791.71","863,791.71","Health Care","5811917","DE0005664809","Xetra","Germany","USD","EUR","0.87"
"NDA","AURUBIS AG","Equity","1.79","64.54","13,172.00","850,149.08","850,149.08","Materials","5485527","DE0006766504","Xetra","Germany","USD","EUR","0.87"
"WAF","SILTRONIC N AG","Equity","1.74","114.42","7,239.00","828,277.39","828,277.39","Information Technology","BYY5978","DE000WAF3001","Xetra","Germany","USD","EUR","0.87"
"TLG","TLG IMMOBILEN AG","Equity","1.72","25.80","31,661.00","816,949.45","816,949.45","Real Estate","BR2Z8G3","DE000A12B8Z4","Xetra","Germany","USD","EUR","0.87"
"RAA","RATIONAL AG","Equity","1.70","689.46","1,175.00","810,120.32","810,120.32","Industrials","5910609","DE0007010803","Xetra","Germany","USD","EUR","0.87"
"SAZ","STADA ARZNEIMITTEL AG","Equity","1.70","94.22","8,594.00","809,718.72","809,718.72","Health Care","5386750","DE0007251803","Xetra","Germany","USD","EUR","0.87"
"EVD","CTS EVENTIM AG","Equity","1.68","40.24","19,858.00","799,045.31","799,045.31","Communication","5881857","DE0005470306","Xetra","Germany","USD","EUR","0.87"
"ARL","AAREAL BANK AG","Equity","1.65","40.11","19,599.00","786,138.05","786,138.05","Financials","7380062","DE0005408116","Xetra","Germany","USD","EUR","0.87"
"AOX","ALSTRIA OFFICE REIT AG","Equity","1.63","14.94","51,916.00","775,740.92","775,740.92","Real Estate","B1VP947","DE000A0LD2U1","Xetra","Germany","USD","EUR","0.87"
"GXI","GERRESHEIMER AG","Equity","1.58","69.47","10,828.00","752,169.59","752,169.59","Health Care","B1Y47Y7","DE000A0LD6E6","Xetra","Germany","USD","EUR","0.87"
"RKET","ROCKET INTERNET","Equity","1.52","30.16","23,943.00","722,148.94","722,148.94","Consumer Discretionary","BR17150","DE000A12UKK6","Xetra","Germany","USD","EUR","0.87"
"SOW","SOFTWARE AG","Equity","1.48","42.45","16,582.00","703,932.75","703,932.75","Information Technology","BF06WX9","DE000A2GS401","Xetra","Germany","USD","EUR","0.87"
"PBB","DEUTSCHE PFANDBRIEFBANK AG","Equity","1.40","14.34","46,434.00","665,988.84","665,988.84","Financials","BYM6917","DE0008019001","Xetra","Germany","USD","EUR","0.87"
"DLG","DIALOG SEMICON PLC","Equity","1.38","24.95","26,375.00","658,051.98","658,051.98","Information Technology","5982200","GB0059822006","Xetra","Germany","USD","EUR","0.87"
"SZG","SALZGITTER AG","Equity","1.32","46.82","13,459.00","630,167.87","630,167.87","Materials","5465358","DE0006202005","Xetra","Germany","USD","EUR","0.87"
"DUE","DUERR AG","Equity","1.30","34.59","17,887.00","618,684.50","618,684.50","Industrials","5119901","DE0005565204","Xetra","Germany","USD","EUR","0.87"
"STM","STABILUS SA","Equity","1.28","71.48","8,513.00","608,533.93","608,533.93","Industrials","BMM1PP4","LU1066226637","Xetra","Germany","USD","EUR","0.87"
"NOEJ","NORMA GROUP","Equity","1.27","55.04","10,982.00","604,469.41","604,469.41","Industrials","B4RLNR1","DE000A1H8BV3","Xetra","Germany","USD","EUR","0.87"
"ADJ","ADO PROPERTIES","Equity","1.20","57.82","9,901.00","572,480.20","572,480.20","Real Estate","BYNXBZ5","LU1250154413","Xetra","Germany","USD","EUR","0.87"
"JEN","JENOPTIK N AG","Equity","1.20","32.17","17,748.00","570,905.33","570,905.33","Information Technology","BGJVB13","DE000A2NB601","Xetra","Germany","USD","EUR","0.87"
"JUN3","JUNGHEINRICH PREF AG","Equity","1.17","33.76","16,551.00","558,734.88","558,734.88","Industrials","5545670","DE0006219934","Xetra","Germany","USD","EUR","0.87"
"KRN","KRONES AG","Equity","1.15","100.19","5,442.00","545,241.35","545,241.35","Industrials","5523881","DE0006335003","Xetra","Germany","USD","EUR","0.87"
"DEQ","DEUTSCHE EUROSHOP AG","Equity","1.14","31.68","17,057.00","540,418.06","540,418.06","Real Estate","4754972","DE0007480204","Xetra","Germany","USD","EUR","0.87"
"SAX","STROEER SE","Equity","1.06","52.55","9,603.00","504,651.68","504,651.68","Communication","B3S3S52","DE0007493991","Xetra","Germany","USD","EUR","0.87"
"HLAG","HAPAG LLOYD AG","Equity","0.98","38.53","12,138.00","467,696.43","467,696.43","Industrials","BYZTSW7","DE000HLAG475","Xetra","Germany","USD","EUR","0.87"
"GBF","BILFINGER","Equity","0.98","43.44","10,691.00","464,450.78","464,450.78","Industrials","5117381","DE0005909006","Xetra","Germany","USD","EUR","0.87"
"COK","CANCOM","Equity","0.96","39.89","11,498.00","458,679.02","458,679.02","Information Technology","5772627","DE0005419105","Xetra","Germany","USD","EUR","0.87"
"COP","COMPUGROUP MEDICAL","Equity","0.96","54.97","8,274.00","454,843.76","454,843.76","Health Care","5094536","DE0005437305","Xetra","Germany","USD","EUR","0.87"
"AIXA","AIXTRON","Equity","0.94","11.44","38,953.00","445,605.57","445,605.57","Information Technology","5468346","DE000A0WMPJ6","Xetra","Germany","USD","EUR","0.87"
"SIX2","SIXT","Equity","0.92","104.92","4,195.00","440,132.90","440,132.90","Industrials","5260768","DE0007231326","Xetra","Germany","USD","EUR","0.87"
"LEO","LEONI N AG","Equity","0.90","37.84","11,289.00","427,173.72","427,173.72","Consumer Discretionary","5773255","DE0005408884","Xetra","Germany","USD","EUR","0.87"
"SANT","S&T AG","Equity","0.87","25.32","16,418.00","415,683.76","415,683.76","Information Technology","4665933","AT0000A0E9W5","Xetra","Germany","USD","EUR","0.87"
"SIX3","SIXT PREF","Equity","0.83","68.60","5,723.00","392,600.80","392,600.80","Industrials","5271276","DE0007231334","Xetra","Germany","USD","EUR","0.87"
"SZU","SUEDZUCKER AG","Equity","0.80","15.41","24,697.00","380,560.44","380,560.44","Consumer Staples","5784462","DE0007297004","Xetra","Germany","USD","EUR","0.87"
"AR4","AURELIUS","Equity","0.80","47.64","7,966.00","379,499.40","379,499.40","Financials","B17NLM7","DE000A0JK2A8","Xetra","Germany","USD","EUR","0.87"
"INH","INDUS HOLDING AG","Equity","0.74","56.03","6,318.00","354,018.83","354,018.83","Industrials","4943510","DE0006200108","Xetra","Germany","USD","EUR","0.87"
"GIL","DMG MORI AG","Equity","0.74","51.88","6,814.00","353,529.06","353,529.06","Industrials","5753398","DE0005878003","Xetra","Germany","USD","EUR","0.87"
"ZO1","ZOOPLUS AG","Equity","0.73","165.91","2,096.00","347,746.32","347,746.32","Consumer Discretionary","B2R9XL5","DE0005111702","Xetra","Germany","USD","EUR","0.87"
"PFV","PFEIFFER VACUUM TECHNOLOGY AG","Equity","0.70","139.62","2,387.00","333,278.30","333,278.30","Industrials","5499238","DE0006916604","Xetra","Germany","USD","EUR","0.87"
"DEZ","DEUTZ AG","Equity","0.70","7.96","41,782.00","332,631.51","332,631.51","Industrials","4557847","DE0006305006","Xetra","Germany","USD","EUR","0.87"
"CEC","CECONOMY AG","Equity","0.69","5.37","61,517.00","330,302.50","330,302.50","Consumer Discretionary","5041413","DE0007257503","Xetra","Germany","USD","EUR","0.87"
"WSU","WASHTEC AG","Equity","0.68","84.17","3,866.00","325,383.24","325,383.24","Industrials","5355437","DE0007507501","Xetra","Germany","USD","EUR","0.87"
"O1BC","XING N","Equity","0.66","323.40","972.00","314,347.21","314,347.21","Communication","B1JTY91","DE000XNG8888","Xetra","Germany","USD","EUR","0.87"
"HFG","HELLOFRESH","Equity","0.64","12.18","25,028.00","304,719.70","304,719.70","Consumer Discretionary","BYWH8S0","DE000A161408","Xetra","Germany","USD","EUR","0.87"
"PAT","PATRIZIA IMMOBILIEN AG","Equity","0.62","18.49","15,964.00","295,227.33","295,227.33","Real Estate","B11Y3K8","DE000PAT1AG3","Xetra","Germany","USD","EUR","0.87"
"KCO","KLOECKNER & CO","Equity","0.59","10.92","25,883.00","282,751.10","282,751.10","Industrials","B170DQ6","DE000KC01000","Xetra","Germany","USD","EUR","0.87"
"SKB","KOENIG & BAUER AG","Equity","0.58","57.35","4,854.00","278,365.90","278,365.90","Industrials","5558203","DE0007193500","Xetra","Germany","USD","EUR","0.87"
"KWS","KWS SAAT","Equity","0.57","340.12","799.00","271,756.08","271,756.08","Consumer Staples","4495044","DE0007074007","Xetra","Germany","USD","EUR","0.87"
"ISR","ISRA VISION AG","Equity","0.57","47.50","5,678.00","269,713.74","269,713.74","Information Technology","5949777","DE0005488100","Xetra","Germany","USD","EUR","0.87"
"VT9","VTG AG","Equity","0.57","60.41","4,451.00","268,905.30","268,905.30","Industrials","B04ZLY1","DE000VTG9999","Xetra","Germany","USD","EUR","0.87"
"HYQ","HYPOPORT N AG","Equity","0.56","215.60","1,230.00","265,190.03","265,190.03","Financials","B28XLF6","DE0005493365","Xetra","Germany","USD","EUR","0.87"
"INS","INSTONE REAL ESTATE GROUP AG","Equity","0.56","25.94","10,200.00","264,602.03","264,602.03","Industrials","BFYXP82","DE000A2NBX80","Xetra","Germany","USD","EUR","0.87"
"RIB","RIB SOFTWARE","Equity","0.51","18.39","13,303.00","244,636.22","244,636.22","Information Technology","B03K783","DE000A0Z2XN6","Xetra","Germany","USD","EUR","0.87"
"HBH","HORNBACH HOLDING AG","Equity","0.50","66.18","3,602.00","238,377.95","238,377.95","Consumer Discretionary","BZBWTJ1","DE0006083405","Xetra","Germany","USD","EUR","0.87"
"WAC","WACKER NEUSON N","Equity","0.49","24.12","9,657.00","232,924.08","232,924.08","Industrials","B17R248","DE000WACK012","Xetra","Germany","USD","EUR","0.87"
"HAB","HAMBORNER REIT AG","Equity","0.48","10.48","21,941.00","229,948.60","229,948.60","Real Estate","5735642","DE0006013006","Xetra","Germany","USD","EUR","0.87"
"SFQ","SAF-HOLLAND SA","Equity","0.48","14.70","15,609.00","229,454.06","229,454.06","Consumer Discretionary","B2352K9","LU0307018795","Xetra","Germany","USD","EUR","0.87"
"CAP","ENCAVIS AG","Equity","0.46","7.09","30,889.00","219,022.86","219,022.86","Utilities","5491966","DE0006095003","Xetra","Germany","USD","EUR","0.87"
"HDD","HEIDELBERGER DRUCKMASCHINEN AG","Equity","0.44","2.44","86,332.00","210,420.12","210,420.12","Industrials","5367227","DE0007314007","Xetra","Germany","USD","EUR","0.87"
