iShares MSCI Germany ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"2,937,392,107.50"
Shares Outstanding,"102,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"SAP","SAP","Equity","8.79","116.92","2,207,830.00","258,132,259.58","258,132,259.58","Information Technology","4846288","DE0007164600","Xetra","Germany","USD","EUR","0.86"
"ALV","ALLIANZ","Equity","7.13","211.78","989,010.00","209,456,675.82","209,456,675.82","Financials","5231485","DE0008404005","Xetra","Germany","USD","EUR","0.86"
"SIE","SIEMENS N AG","Equity","6.90","117.87","1,718,539.00","202,557,883.17","202,557,883.17","Industrials","5727973","DE0007236101","Xetra","Germany","USD","EUR","0.86"
"BAYN","BAYER AG","Equity","6.47","90.65","2,095,970.00","190,004,195.22","190,004,195.22","Health Care","5069211","DE000BAY0017","Xetra","Germany","USD","EUR","0.86"
"BAS","BASF N","Equity","5.63","80.17","2,063,334.00","165,421,203.88","165,421,203.88","Materials","5086577","DE000BASF111","Xetra","Germany","USD","EUR","0.86"
"DAI","DAIMLER AG","Equity","4.29","61.64","2,042,851.00","125,927,467.26","125,927,467.26","Consumer Discretionary","5529027","DE0007100000","Xetra","Germany","USD","EUR","0.86"
"DTE","DEUTSCHE TELEKOM N AG","Equity","4.21","16.51","7,487,453.00","123,646,248.94","123,646,248.94","Communication","5842359","DE0005557508","Xetra","Germany","USD","EUR","0.86"
"LINU","LINDE AG","Equity","3.41","240.06","417,253.00","100,167,326.14","100,167,326.14","Materials","BF8K6K8","DE000A2E4L75","Xetra","Germany","USD","EUR","0.86"
"ADS","ADIDAS N AG","Equity","3.34","231.61","423,001.00","97,971,261.61","97,971,261.61","Consumer Discretionary","4031976","DE000A1EWWW0","Xetra","Germany","USD","EUR","0.86"
"FRE","FRESENIUS SE AND CO KGAA","Equity","2.54","79.86","934,895.00","74,659,899.47","74,659,899.47","Health Care","4352097","DE0005785604","Xetra","Germany","USD","EUR","0.86"
"DPW","DEUTSCHE POST AG","Equity","2.53","33.58","2,214,068.00","74,356,041.97","74,356,041.97","Industrials","4617859","DE0005552004","Xetra","Germany","USD","EUR","0.86"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Equity","2.45","214.53","335,789.00","72,036,398.63","72,036,398.63","Financials","5294121","DE0008430026","Xetra","Germany","USD","EUR","0.86"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Equity","2.42","170.72","416,921.00","71,176,640.97","71,176,640.97","Consumer Discretionary","5497168","DE0007664039","Xetra","Germany","USD","EUR","0.86"
"BMW","BMW AG","Equity","2.22","87.72","743,820.00","65,249,591.89","65,249,591.89","Consumer Discretionary","5756029","DE0005190003","Xetra","Germany","USD","EUR","0.86"
"IFX","INFINEON TECHNOLOGIES AG","Equity","1.91","21.93","2,552,997.00","55,996,075.45","55,996,075.45","Information Technology","5889505","DE0006231004","Xetra","Germany","USD","EUR","0.86"
"DB1","DEUTSCHE BOERSE AG","Equity","1.91","129.12","433,566.00","55,983,158.35","55,983,158.35","Financials","7021963","DE0005810055","Xetra","Germany","USD","EUR","0.86"
"WDI","WIRECARD AG","Equity","1.81","201.67","263,724.00","53,186,381.44","53,186,381.44","Information Technology","7508927","DE0007472060","Xetra","Germany","USD","EUR","0.86"
"VNA","VONOVIA SE","Equity","1.70","45.86","1,090,744.00","50,020,189.13","50,020,189.13","Real Estate","BBJPFY1","DE000A1ML7J1","Xetra","Germany","USD","EUR","0.86"
"DBK","DEUTSCHE BANK AG","Equity","1.67","11.14","4,410,758.00","49,132,681.39","49,132,681.39","Financials","5750355","DE0005140008","Xetra","Germany","USD","EUR","0.86"
"EOAN","E.ON N","Equity","1.65","9.80","4,944,675.00","48,443,490.28","48,443,490.28","Utilities","4942904","DE000ENAG999","Xetra","Germany","USD","EUR","0.86"
"FME","FRESENIUS MEDICAL CARE AG","Equity","1.64","99.27","484,541.00","48,099,438.28","48,099,438.28","Health Care","5129074","DE0005785802","Xetra","Germany","USD","EUR","0.86"
