iShares MSCI Hong Kong ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"2,338,173,674.28"
Shares Outstanding,"106,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"1299","AIA GROUP LTD","Equity","20.28","7.84","60,460,000.00","474,082,623.54","474,082,623.54","Financials","B4TX8S1","HK0000069689","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"388","HONG KONG EXCHANGES AND CLEARING L","Equity","6.44","25.50","5,903,200.00","150,503,634.80","150,503,634.80","Financials","6267359","HK0388045442","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"1","CK HUTCHISON HOLDINGS LTD","Equity","5.96","10.30","13,514,267.00","139,251,227.90","139,251,227.90","Industrials","BW9P816","KYG217651051","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"16","SUN HUNG KAI PROPERTIES LTD","Equity","4.48","13.13","7,975,000.00","104,715,283.76","104,715,283.76","Real Estate","6859927","HK0016000132","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"11","HANG SENG BANK LTD","Equity","4.24","25.90","3,829,400.00","99,195,227.61","99,195,227.61","Financials","6408374","HK0011000095","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"823","LINK REAL ESTATE INVESTMENT TRUST","Equity","4.20","9.12","10,764,500.00","98,211,854.40","98,211,854.40","Real Estate","B0PB4M7","HK0823032773","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"2","CLP HOLDINGS LTD","Equity","3.89","11.06","8,220,200.00","90,942,206.91","90,942,206.91","Utilities","6097017","HK0002007356","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"1113","CK ASSET HOLDINGS LTD","Equity","3.85","6.94","12,956,767.00","89,941,381.92","89,941,381.92","Real Estate","BYZQ077","KYG2177B1014","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"3","HONG KONG AND CHINA GAS LTD","Equity","3.71","1.88","46,175,182.00","86,732,214.12","86,732,214.12","Utilities","6436557","HK0003000038","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"2388","BOC HONG KONG HOLDINGS LTD","Equity","3.39","4.27","18,521,500.00","79,174,434.56","79,174,434.56","Financials","6536112","HK2388011192","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"27","GALAXY ENTERTAINMENT GROUP LTD","Equity","2.92","5.73","11,898,000.00","68,168,590.30","68,168,590.30","Consumer Discretionary","6465874","HK0027032686","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"J36","JARDINE MATHESON HOLDINGS LTD","Equity","2.74","57.88","1,107,000.00","64,073,160.00","64,073,160.00","Industrials","6472119","BMG507361001","Singapore Exchange","Hong Kong","USD","USD","1.00"
"1928","SANDS CHINA LTD","Equity","2.20","4.25","12,122,000.00","51,508,929.08","51,508,929.08","Consumer Discretionary","B5B23W2","KYG7800X1079","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"6","POWER ASSETS HOLDINGS LTD","Equity","2.00","6.75","6,928,500.00","46,769,087.95","46,769,087.95","Utilities","6435327","HK0006000050","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"669","TECHTRONIC INDUSTRIES LTD","Equity","1.66","5.61","6,893,647.00","38,704,879.96","38,704,879.96","Consumer Discretionary","B0190C7","HK0669013440","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"17","NEW WORLD DEVELOPMENT LTD","Equity","1.65","1.26","30,627,066.00","38,651,441.32","38,651,441.32","Real Estate","6633767","HK0017000149","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"66","MTR CORP LTD","Equity","1.58","4.93","7,510,583.00","36,993,460.78","36,993,460.78","Industrials","6290054","HK0066009694","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"J37","JARDINE STRATEGIC HOLDINGS LTD","Equity","1.56","32.86","1,112,500.00","36,556,750.00","36,556,750.00","Industrials","6472960","BMG507641022","Singapore Exchange","Hong Kong","USD","USD","1.00"
"1997","WHARF REAL ESTATE INVESTMENT COMPA","Equity","1.56","6.00","6,072,150.00","36,455,757.49","36,455,757.49","Real Estate","BF0GWS4","KYG9593A1040","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"H78","HONGKONG LAND HOLDINGS LTD","Equity","1.51","6.04","5,826,800.00","35,193,872.00","35,193,872.00","Real Estate","6434915","BMG4587L1090","Singapore Exchange","Hong Kong","USD","USD","1.00"
"288","WH GROUP LTD","Equity","1.40","0.74","44,492,000.00","32,758,329.66","32,758,329.66","Consumer Staples","BLLHKZ1","KYG960071028","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"12","HENDERSON LAND DEVELOPMENT LTD","Equity","1.33","4.69","6,611,148.00","31,002,608.10","31,002,608.10","Real Estate","6420538","HK0012000102","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"19","SWIRE PACIFIC LTD A","Equity","1.13","10.58","2,500,000.00","26,445,911.89","26,445,911.89","Real Estate","6867748","HK0019000162","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
