iShares MSCI Italy ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"313,625,371.26"
Shares Outstanding,"11,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"ENI","ENI","Equity","14.10","18.33","2,411,335.00","44,210,012.94","44,210,012.94","Energy","7145056","IT0003132476","Borsa Italiana","Italy","USD","EUR","0.86"
"ENEL","ENEL","Equity","12.58","5.16","7,646,923.00","39,442,482.43","39,442,482.43","Utilities","7144569","IT0003128367","Borsa Italiana","Italy","USD","EUR","0.86"
"ISP","INTESA SANPAOLO","Equity","10.64","2.40","13,922,138.00","33,373,641.06","33,373,641.06","Financials","4076836","IT0000072618","Borsa Italiana","Italy","USD","EUR","0.86"
"UCG","UNICREDIT","Equity","8.20","13.91","1,849,076.00","25,725,848.06","25,725,848.06","Financials","BYMXPS7","IT0005239360","Borsa Italiana","Italy","USD","EUR","0.86"
"FCA","FIAT CHRYSLER AUTOMOBILES NV","Equity","4.56","16.76","853,837.00","14,311,687.66","14,311,687.66","Consumer Discretionary","BRJFWP3","NL0010877643","Borsa Italiana","Italy","USD","EUR","0.86"
"RACE","FERRARI NV","Equity","4.55","122.41","116,629.00","14,276,075.96","14,276,075.96","Consumer Discretionary","BD6G507","NL0011585146","Borsa Italiana","Italy","USD","EUR","0.86"
"G","ASSICURAZIONI GENERALI","Equity","4.55","16.57","860,734.00","14,263,821.75","14,263,821.75","Financials","4056719","IT0000062072","Borsa Italiana","Italy","USD","EUR","0.86"
"CNHI","CNH INDUSTRIAL NV","Equity","4.18","11.58","1,131,562.00","13,098,812.12","13,098,812.12","Industrials","BDSV2V0","NL0010545661","Borsa Italiana","Italy","USD","EUR","0.86"
"LUX","LUXOTTICA GROUP","Equity","3.76","61.98","190,310.00","11,795,192.28","11,795,192.28","Consumer Discretionary","4800659","IT0001479374","Borsa Italiana","Italy","USD","EUR","0.86"
"SRG","SNAM","Equity","3.52","4.28","2,577,064.00","11,039,180.80","11,039,180.80","Energy","7251470","IT0003153415","Borsa Italiana","Italy","USD","EUR","0.86"
"ATL","ATLANTIA","Equity","3.37","20.68","511,000.00","10,568,897.00","10,568,897.00","Industrials","7667163","IT0003506190","Borsa Italiana","Italy","USD","EUR","0.86"
"TEN","TENARIS SA","Equity","2.90","16.55","549,663.00","9,099,299.81","9,099,299.81","Energy","7538515","LU0156801721","Borsa Italiana","Italy","USD","EUR","0.86"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Equity","2.80","5.28","1,665,291.00","8,793,915.51","8,793,915.51","Utilities","B01BN57","IT0003242622","Borsa Italiana","Italy","USD","EUR","0.86"
"EXO","EXOR NV","Equity","2.49","60.43","129,457.00","7,822,704.48","7,822,704.48","Financials","BYSLCX9","NL0012059018","Borsa Italiana","Italy","USD","EUR","0.86"
"TIT","TELECOM ITALIA","Equity","2.36","0.59","12,457,922.00","7,392,341.80","7,392,341.80","Communication","7634394","IT0003497168","Borsa Italiana","Italy","USD","EUR","0.86"
"MB","MEDIOBANCA BANCA DI CREDITO FINANZ","Equity","2.21","9.04","765,512.00","6,921,801.15","6,921,801.15","Financials","4574813","IT0000062957","Borsa Italiana","Italy","USD","EUR","0.86"
"PRY","PRYSMIAN","Equity","2.07","21.89","295,971.00","6,477,960.19","6,477,960.19","Industrials","B1W4V69","IT0004176001","Borsa Italiana","Italy","USD","EUR","0.86"
"LDO","LEONARDO FINMECCANICA SPA","Equity","2.00","11.92","524,884.00","6,257,732.53","6,257,732.53","Industrials","B0DJNG0","IT0003856405","Borsa Italiana","Italy","USD","EUR","0.86"
"MONC","MONCLER","Equity","1.84","35.89","160,937.00","5,775,702.15","5,775,702.15","Consumer Discretionary","BGLP232","IT0004965148","Borsa Italiana","Italy","USD","EUR","0.86"
"CPR","DAVIDE CAMPARI MILANO","Equity","1.78","7.56","737,338.00","5,571,529.62","5,571,529.62","Consumer Staples","BZ4CMZ5","IT0005252207","Borsa Italiana","Italy","USD","EUR","0.86"
"PST","POSTE ITALIANE","Equity","1.65","7.38","699,954.00","5,168,269.11","5,168,269.11","Financials","BYYN701","IT0003796171","Borsa Italiana","Italy","USD","EUR","0.86"
"REC","RECORDATI S.P.A.","Equity","1.58","34.28","144,428.00","4,950,743.42","4,950,743.42","Health Care","B07DRZ5","IT0003828271","Borsa Italiana","Italy","USD","EUR","0.86"
"TITR","TELECOM ITALIA SAVING","Equity","1.20","0.52","7,311,296.00","3,769,439.99","3,769,439.99","Communication","7634402","IT0003497176","Borsa Italiana","Italy","USD","EUR","0.86"
"PIRC","PIRELLI & C","Equity","0.94","7.47","396,370.00","2,960,655.00","2,960,655.00","Consumer Discretionary","BZ5ZHK3","IT0005278236","Borsa Italiana","Italy","USD","EUR","0.86"
"EUR","EUR CASH","Cash","0.16","115.81","431,943.00","500,211.45","500,211.45","Cash and/or Derivatives","-","-","-","European Union","USD","EUR","0.86"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.03","1.00","80,649.00","80,649.33","80,649.33","Cash and/or Derivatives","-","US0669224778","-","United States","USD","USD","1.00"
"WFFUT","CASH COLLATERAL EUR WFFUT","Cash Collateral and Margins","0.01","115.81","39,000.00","45,163.95","45,163.95","Cash and/or Derivatives","-","-","-","United States","USD","EUR","0.86"
"STZ8","FTSE/MIB INDEX DEC 18","Futures","0.00","22,748.75","4.00","0.00","454,974.68","Cash and/or Derivatives","-","IT0014339474","Italian Derivatives Market","-","USD","EUR","0.86"
"USD","USD CASH","Cash","-0.02","100.00","-70,550.00","-70,549.87","-70,549.87","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
 
