iShares MSCI Japan ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"17,252,069,401.22"
Shares Outstanding,"303,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"7203","TOYOTA MOTOR CORP","Equity","3.92","58.12","11,695,700.00","679,760,775.30","679,760,775.30","Consumer Discretionary","6900643","JP3633400001","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"6758","SONY CORP","Equity","2.13","56.64","6,518,400.00","369,210,447.80","369,210,447.80","Consumer Discretionary","6821506","JP3435000009","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Equity","2.12","6.05","60,906,380.00","368,591,744.94","368,591,744.94","Financials","6335171","JP3902900004","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"9984","SOFTBANK GROUP CORP","Equity","2.11","85.43","4,277,700.00","365,423,804.30","365,423,804.30","Communication","6770620","JP3436100006","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Equity","1.57","39.21","6,932,600.00","271,830,325.71","271,830,325.71","Financials","6563024","JP3890350006","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"6861","KEYENCE CORP","Equity","1.44","508.22","491,752.00","249,918,607.67","249,918,607.67","Information Technology","6490995","JP3236200006","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"9433","KDDI CORP","Equity","1.39","26.29","9,166,500.00","241,017,317.20","241,017,317.20","Communication","6248990","JP3496400007","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"7267","HONDA MOTOR LTD","Equity","1.32","27.34","8,351,700.00","228,338,596.44","228,338,596.44","Consumer Discretionary","6435145","JP3854600008","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"8058","MITSUBISHI CORP","Equity","1.22","30.68","6,925,800.00","212,498,591.10","212,498,591.10","Industrials","6596785","JP3898400001","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"8411","MIZUHO FINANCIAL GROUP INC","Equity","1.22","1.71","124,460,780.00","212,397,980.39","212,397,980.39","Financials","6591014","JP3885780001","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"7974","NINTENDO LTD","Equity","1.15","352.27","567,000.00","199,737,200.91","199,737,200.91","Communication","6639550","JP3756600007","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"4452","KAO CORP","Equity","1.05","73.48","2,484,700.00","182,563,396.16","182,563,396.16","Consumer Staples","6483809","JP3205800000","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"6954","FANUC CORP","Equity","1.04","177.16","1,018,500.00","180,437,374.68","180,437,374.68","Industrials","6356934","JP3802400006","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"9437","NTT DOCOMO INC","Equity","0.99","25.56","6,722,100.00","171,833,924.61","171,833,924.61","Communication","6129277","JP3165650007","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"6098","RECRUIT HOLDINGS LTD","Equity","0.98","29.72","5,738,400.00","170,543,724.10","170,543,724.10","Industrials","BQRRZ00","JP3970300004","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"8766","TOKIO MARINE HOLDINGS INC","Equity","0.96","48.03","3,462,900.00","166,332,763.00","166,332,763.00","Financials","6513126","JP3910660004","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"3382","SEVEN & I HOLDINGS LTD","Equity","0.95","42.58","3,870,380.00","164,796,824.31","164,796,824.31","Consumer Staples","B0FS5D6","JP3422950000","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"7751","CANON INC","Equity","0.93","31.35","5,141,850.00","161,199,735.33","161,199,735.33","Information Technology","6172323","JP3242800005","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"4503","ASTELLAS PHARMA INC","Equity","0.91","16.54","9,573,950.00","158,392,711.98","158,392,711.98","Health Care","6985383","JP3942400007","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Equity","0.89","44.48","3,486,500.00","155,069,478.23","155,069,478.23","Communication","6641373","JP3735400008","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"4063","SHIN ETSU CHEMICAL LTD","Equity","0.88","81.32","1,882,500.00","153,079,467.99","153,079,467.99","Materials","6804585","JP3371200001","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"6367","DAIKIN INDUSTRIES LTD","Equity","0.87","122.93","1,233,500.00","151,638,662.39","151,638,662.39","Industrials","6250724","JP3481800005","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"6594","NIDEC CORP","Equity","0.87","131.18","1,153,400.00","151,299,273.72","151,299,273.72","Industrials","6640682","JP3734800000","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"6501","HITACHI LTD","Equity","0.87","30.90","4,890,800.00","151,149,974.60","151,149,974.60","Information Technology","6429104","JP3788600009","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"8031","MITSUI LTD","Equity","0.87","17.67","8,555,400.00","151,148,068.44","151,148,068.44","Industrials","6597302","JP3893600001","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"4502","TAKEDA PHARMACEUTICAL LTD","Equity","0.86","40.55","3,684,600.00","149,400,080.20","149,400,080.20","Health Care","6870445","JP3463000004","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"2914","JAPAN TOBACCO INC","Equity","0.84","25.65","5,703,600.00","146,306,755.78","146,306,755.78","Consumer Staples","6474535","JP3726800000","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"JPY","JPY CASH","Cash","0.84","0.89","16,314,682,453.00","145,387,715.13","145,387,715.13","Cash and/or Derivatives","-","-","-","Japan","USD","JPY","112.22"
"9983","FAST RETAILING LTD","Equity","0.83","496.01","291,200.00","144,438,729.23","144,438,729.23","Consumer Discretionary","6332439","JP3802300008","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"8001","ITOCHU CORP","Equity","0.82","19.43","7,333,200.00","142,494,698.57","142,494,698.57","Industrials","6467803","JP3143600009","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"9022","CENTRAL JAPAN RAILWAY","Equity","0.81","193.16","726,400.00","140,308,514.90","140,308,514.90","Industrials","6183552","JP3566800003","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
