iShares MSCI Belgium ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"52,090,148.42"
Shares Outstanding,"2,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"ABI","ANHEUSER BUSCH INBEV NV","Equity","21.10","85.59","128,388.00","10,988,918.36","10,988,918.36","Consumer Staples","BYYHL23","BE0974293251","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"KBC","KBC GROEP","Equity","10.44","75.30","72,212.00","5,437,304.43","5,437,304.43","Financials","4497749","BE0003565737","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"UCB","UCB SA","Equity","6.12","86.58","36,790.00","3,185,124.34","3,185,124.34","Health Care","5596991","BE0003739530","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"UMI","UMICORE SA","Equity","6.08","49.36","64,179.00","3,167,624.56","3,167,624.56","Materials","BF44466","BE0974320526","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"AGS","AGEAS NV","Equity","4.78","51.27","48,566.00","2,489,826.98","2,489,826.98","Financials","B86S2N0","BE0974264930","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"SOLB","SOLVAY SA","Equity","4.45","123.16","18,800.00","2,315,382.01","2,315,382.01","Materials","4821100","BE0003470755","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Equity","4.33","94.80","23,771.00","2,253,442.62","2,253,442.62","Financials","7097328","BE0003797140","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"GLPG","GALAPAGOS NV","Equity","2.83","100.98","14,583.00","1,472,619.92","1,472,619.92","Health Care","B07Q2V5","BE0003818359","Euronext Amsterdam","Belgium","USD","EUR","0.86"
"ACKB","ACKERMANS & VAN HAAREN NV","Equity","2.55","163.52","8,114.00","1,326,774.18","1,326,774.18","Financials","5715774","BE0003764785","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"PROX","PROXIMUS NV","Equity","2.46","26.15","49,043.00","1,282,414.08","1,282,414.08","Communication","B00D9P6","BE0003810273","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"COLR","ETABLISSEMENTEN FRANZ COLRUYT NV","Equity","2.41","57.45","21,854.00","1,255,531.11","1,255,531.11","Consumer Staples","5806225","BE0974256852","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
"TNET","TELENET GROUP HOLDING NV","Equity","2.01","55.49","18,839.00","1,045,446.87","1,045,446.87","Communication","B0LKSK4","BE0003826436","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.86"
