iShares MSCI Switzerland ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"1,056,257,389.42"
Shares Outstanding,"32,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NESN","NESTLE SA","Equity","19.84","80.87","2,611,789.00","211,212,519.89","211,212,519.89","Consumer Staples","7123870","CH0038863350","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"NOVN","NOVARTIS AG","Equity","13.82","84.95","1,732,327.00","147,162,469.47","147,162,469.47","Health Care","7103065","CH0012005267","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"ROG","ROCHE HOLDING PAR AG","Equity","12.71","243.04","556,729.00","135,308,068.65","135,308,068.65","Health Care","7110388","CH0012032048","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"ZURN","ZURICH INSURANCE GROUP AG","Equity","4.30","306.64","149,179.00","45,744,709.78","45,744,709.78","Financials","5983816","CH0011075394","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"UBSG","UBS GROUP AG","Equity","4.25","14.28","3,167,255.00","45,216,785.20","45,216,785.20","Financials","BRJL176","CH0244767585","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"ABBN","ABB LTD","Equity","3.67","21.47","1,821,436.00","39,106,355.14","39,106,355.14","Industrials","7108899","CH0012221716","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Equity","3.56","73.78","514,331.00","37,945,389.87","37,945,389.87","Consumer Discretionary","BCRWZ18","CH0210483332","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"CSGN","CREDIT SUISSE GROUP AG","Equity","3.24","13.57","2,544,672.00","34,528,865.83","34,528,865.83","Financials","7171589","CH0012138530","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"SREN","SWISS RE AG","Equity","2.71","90.00","320,330.00","28,830,509.12","28,830,509.12","Financials","B545MG5","CH0126881561","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"LONN","LONZA GROUP AG","Equity","2.37","325.33","77,598.00","25,245,320.54","25,245,320.54","Health Care","7333378","CH0013841017","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"LHN","LAFARGEHOLCIM LTD","Equity","2.15","45.61","501,385.00","22,866,904.67","22,866,904.67","Materials","7110753","CH0012214059","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"GIVN","GIVAUDAN SA","Equity","2.12","2,354.13","9,594.00","22,585,521.60","22,585,521.60","Materials","5980613","CH0010645932","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"SIKA","SIKA AG","Equity","1.66","128.52","137,282.00","17,643,112.30","17,643,112.30","Materials","BF2DSG3","CH0418792922","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"GEBN","GEBERIT AG","Equity","1.63","435.87","39,842.00","17,365,838.65","17,365,838.65","Industrials","B1WGG93","CH0030170408","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
