iShares MSCI Netherlands ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"147,102,610.89"
Shares Outstanding,"5,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"UNA","UNILEVER DUTCH CERTIFICATES NV","Equity","16.08","54.24","436,089.00","23,654,802.66","23,654,802.66","Consumer Staples","B12T3J1","NL0000009355","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"ASML","ASML HOLDING NV","Equity","13.84","179.50","113,392.00","20,353,608.87","20,353,608.87","Information Technology","B929F46","NL0010273215","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"INGA","ING GROEP NV","Equity","9.20","12.54","1,078,957.00","13,531,935.05","13,531,935.05","Financials","BZ57390","NL0011821202","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"PHIA","KONINKLIJKE PHILIPS NV","Equity","6.82","41.28","243,109.00","10,036,629.26","10,036,629.26","Health Care","5986622","NL0000009538","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","4.66","22.66","302,355.00","6,851,582.72","6,851,582.72","Consumer Staples","BD0Q398","NL0011794037","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"NXPI","NXP SEMICONDUCTORS NV","Equity","4.48","81.19","81,174.00","6,590,517.06","6,590,517.06","Information Technology","B505PN7","NL0009538784","NASDAQ","Netherlands","USD","USD","1.00"
"AKZA","AKZO NOBEL NV","Equity","4.35","85.79","74,536.00","6,394,320.01","6,394,320.01","Materials","5458314","NL0000009132","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"HEIA","HEINEKEN NV","Equity","3.56","89.89","58,200.00","5,231,472.35","5,231,472.35","Consumer Staples","7792559","NL0000009165","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"DSM","KONINKILIJKE DSM NV","Equity","3.52","95.56","54,116.00","5,171,448.67","5,171,448.67","Materials","B0HZL93","NL0000009827","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"WKL","WOLTERS KLUWER NV","Equity","3.47","58.83","86,811.00","5,106,999.11","5,106,999.11","Industrials","5671519","NL0000395903","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"NN","NN GROUP NV","Equity","2.80","44.53","92,374.00","4,113,139.18","4,113,139.18","Financials","BNG8PQ9","NL0010773842","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"ABN","ABN AMRO GROUP NV","Equity","2.34","26.33","130,988.00","3,449,445.46","3,449,445.46","Financials","BYQP136","NL0011540547","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"AGN","AEGON NV","Equity","2.31","6.14","553,362.00","3,397,632.22","3,397,632.22","Financials","5927375","NL0000303709","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"KPN","KONINKLIJKE KPN NV NV","Equity","1.93","2.69","1,055,765.00","2,842,611.63","2,842,611.63","Communication","5956078","NL0000009082","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"CCE","COCA COLA EUROPEAN PARTNERS PLC","Equity","1.60","44.80","52,453.00","2,349,894.40","2,349,894.40","Consumer Staples","BYQQ3P5","GB00BDCPN049","New York Stock Exchange Inc.","Netherlands","USD","USD","1.00"
"AER","AERCAP HOLDINGS NV","Equity","1.50","53.71","41,030.00","2,203,721.30","2,203,721.30","Industrials","B1HHKD3","NL0000687663","New York Stock Exchange Inc.","Netherlands","USD","USD","1.00"
"RAND","RANDSTAD HOLDING","Equity","1.33","51.09","38,424.00","1,963,203.81","1,963,203.81","Industrials","5228658","NL0000379121","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"GTO","GEMALTO NV","Equity","1.07","58.02","27,253.00","1,581,172.87","1,581,172.87","Information Technology","B9MS8P5","NL0000400653","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"INXN","INTERXION HOLDING NV","Equity","1.07","62.29","25,243.00","1,572,386.47","1,572,386.47","Information Technology","B66QLT9","NL0009693779","New York Stock Exchange Inc.","Netherlands","USD","USD","1.00"
"ASRNL","ASR NEDERLAND NV","Equity","1.06","46.30","33,811.00","1,565,410.05","1,565,410.05","Financials","BD9PNF2","NL0011872643","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"HEIO","HEINEKEN HOLDING NV","Equity","1.02","87.14","17,251.00","1,503,308.42","1,503,308.42","Consumer Staples","B0CCH46","NL0000008977","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"IMCD","IMCD NV","Equity","0.93","71.39","19,147.00","1,366,976.75","1,366,976.75","Industrials","BNCBD46","NL0010801007","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
"AALB","AALBERTS INDUSTRIES NV","Equity","0.91","38.39","35,025.00","1,344,587.25","1,344,587.25","Industrials","B1W8P14","NL0000852564","Euronext Amsterdam","Netherlands","USD","EUR","0.86"
