iShares MSCI Austria ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"132,177,720.11"
Shares Outstanding,"5,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"EBS","ERSTE GROUP BANK AG","Equity","23.18","42.89","714,375.00","30,642,524.12","30,642,524.12","Financials","5289837","AT0000652011","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"OMV","OMV AG","Equity","15.00","56.80","349,154.00","19,832,768.58","19,832,768.58","Energy","4651459","AT0000743059","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"VOE","VOESTALPINE AG","Equity","8.73","42.58","271,121.00","11,544,738.45","11,544,738.45","Materials","4943402","AT0000937503","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Equity","4.70","29.21","212,542.00","6,207,506.12","6,207,506.12","Financials","B0704T9","AT0000606306","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"IIA","IMMOFINANZ AG","Equity","4.37","24.39","236,838.00","5,776,131.38","5,776,131.38","Real Estate","BFZ5BQ7","AT0000A21KS2","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"AND","ANDRITZ AG","Equity","4.16","53.90","101,960.00","5,495,200.17","5,495,200.17","Industrials","B1WVF68","AT0000730007","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"CAI","CA IMMOBILIEN ANLAGEN AG","Equity","4.14","33.58","162,919.00","5,471,382.09","5,471,382.09","Real Estate","5681046","AT0000641352","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"WIE","WIENERBERGER AG","Equity","4.01","24.46","216,513.00","5,295,478.42","5,295,478.42","Materials","5699373","AT0000831706","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"BG","BAWAG GROUP AG","Equity","3.16","44.79","93,373.00","4,182,491.71","4,182,491.71","Financials","BZ1GZ06","AT0000BAWAG2","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"POST","OSTERREICHISCHE POST AG","Equity","2.90","40.90","93,588.00","3,827,966.89","3,827,966.89","Industrials","B1577G7","AT0000APOST4","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"TKA","TELEKOM AUSTRIA AG","Equity","2.68","7.61","464,773.00","3,536,173.55","3,536,173.55","Communication","4635088","AT0000720008","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"LNZ","LENZING AG","Equity","2.66","95.02","36,985.00","3,514,240.82","3,514,240.82","Materials","4512330","AT0000644505","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"UQA","UNIQA INSURANCE GROUP AG","Equity","2.45","9.40","344,840.00","3,242,656.73","3,242,656.73","Financials","4422332","AT0000821103","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"SBO","SCHOELLER-BLECKMANN OILFIELD EQUIP","Equity","2.38","99.59","31,575.00","3,144,626.87","3,144,626.87","Energy","7571305","AT0000946652","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"VIG","VIENNA INSURANCE GROUP AG","Equity","2.37","27.93","112,038.00","3,129,464.01","3,129,464.01","Financials","B0BKSS2","AT0000908504","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"SPI","S IMMO AG","Equity","2.01","18.53","143,407.00","2,657,159.62","2,657,159.62","Real Estate","7390801","AT0000652250","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"EVN","EVN AG","Equity","1.67","18.90","116,660.00","2,204,801.20","2,204,801.20","Utilities","4295374","AT0000741053","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"DOC","DO & CO AKTIENGESELLSCHAFT AG","Equity","1.64","82.80","26,242.00","2,172,852.69","2,172,852.69","Consumer Discretionary","5492345","AT0000818802","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"ATS","AT & S AUSTRIA TECHNOLOGIE & SYSTE","Equity","1.55","22.88","89,739.00","2,053,503.64","2,053,503.64","Information Technology","B2RK5K1","AT0000969985","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"FACC","FACC","Equity","1.22","20.10","80,410.00","1,616,542.38","1,616,542.38","Industrials","BN796M4","AT00000FACC2","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"POS","PORR AG","Equity","0.94","27.79","44,489.00","1,236,491.67","1,236,491.67","Industrials","4019950","AT0000609607","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"ZAG","ZUMTOBEL GROUP AG","Equity","0.90","9.44","125,457.00","1,184,803.08","1,184,803.08","Industrials","B13WZ26","AT0000837307","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"KTCG","KAPSCH TRAFFICCOM AG","Equity","0.77","39.32","25,729.00","1,011,556.15","1,011,556.15","Information Technology","B1Z4QP0","AT000KAPSCH9","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"EUR","EUR CASH","Cash","0.74","115.81","845,305.00","978,905.55","978,905.55","Cash and/or Derivatives","-","-","-","European Union","USD","EUR","0.86"
"SEM","SEMPERIT HOLDING AG","Equity","0.72","18.07","52,409.00","946,798.98","946,798.98","Industrials","5760280","AT0000785555","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"PYT","POLYTEC HOLDING AG","Equity","0.57","11.14","67,975.00","757,271.48","757,271.48","Consumer Discretionary","B138N31","AT0000A00XX9","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"AGR","AGRANA BETEILIGUNGS AG","Equity","0.38","19.04","26,343.00","501,527.04","501,527.04","Consumer Staples","BF0X9L7","AT000AGRANA3","Wiener Boerse Ag","Austria","USD","EUR","0.86"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.05","1.00","59,652.00","59,651.50","59,651.50","Cash and/or Derivatives","-","US0669224778","-","United States","USD","USD","1.00"
"USD","USD CASH","Cash","-0.03","100.00","-45,203.00","-45,202.93","-45,202.93","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
 
