iShares MSCI Spain ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"894,893,720.88"
Shares Outstanding,"30,975,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"SAN","BANCO SANTANDER SA","Equity","18.56","4.98","33,357,003.00","166,105,032.49","166,105,032.49","Financials","5705946","ES0113900J37","Bolsa De Madrid","Spain","USD","EUR","0.86"
"IBE","IBERDROLA SA","Equity","9.56","7.19","11,894,747.00","85,540,960.05","85,540,960.05","Utilities","B288C92","ES0144580Y14","Bolsa De Madrid","Spain","USD","EUR","0.86"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA","Equity","9.20","6.21","13,254,292.00","82,286,701.21","82,286,701.21","Financials","5501906","ES0113211835","Bolsa De Madrid","Spain","USD","EUR","0.86"
"TEF","TELEFONICA SA","Equity","8.40","8.14","9,235,358.00","75,175,199.51","75,175,199.51","Communication","5732524","ES0178430E18","Bolsa De Madrid","Spain","USD","EUR","0.86"
"REP","REPSOL SA","Equity","4.70","19.00","2,212,389.00","42,030,546.42","42,030,546.42","Energy","5669354","ES0173516115","Bolsa De Madrid","Spain","USD","EUR","0.86"
"CABK","CAIXABANK SA","Equity","4.60","4.47","9,203,945.00","41,174,281.92","41,174,281.92","Financials","B283W97","ES0140609019","Bolsa De Madrid","Spain","USD","EUR","0.86"
"AMS","AMADEUS IT GROUP SA","Equity","4.27","84.68","451,152.00","38,202,024.66","38,202,024.66","Information Technology","B3MSM28","ES0109067019","Bolsa De Madrid","Spain","USD","EUR","0.86"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Equity","4.11","29.00","1,268,453.00","36,782,057.20","36,782,057.20","Consumer Discretionary","BP9DL90","ES0148396007","Bolsa De Madrid","Spain","USD","EUR","0.86"
"AENA","AENA SME SA","Equity","3.49","162.88","191,748.00","31,231,862.95","31,231,862.95","Industrials","BVRZ8L1","ES0105046009","Bolsa De Madrid","Spain","USD","EUR","0.86"
"FER","FERROVIAL SA","Equity","3.47","21.33","1,454,227.00","31,020,524.77","31,020,524.77","Industrials","B038516","ES0118900010","Bolsa De Madrid","Spain","USD","EUR","0.86"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Equity","3.32","38.88","764,963.00","29,738,501.55","29,738,501.55","Industrials","B01FLQ6","ES0167050915","Bolsa De Madrid","Spain","USD","EUR","0.86"
"REE","RED ELECTRICA SA","Equity","3.14","20.88","1,347,692.00","28,139,325.81","28,139,325.81","Utilities","BD6FXN3","ES0173093024","Bolsa De Madrid","Spain","USD","EUR","0.86"
"NTGY","NATURGY ENERGY SA","Equity","3.10","25.71","1,080,207.00","27,770,728.50","27,770,728.50","Utilities","5650422","ES0116870314","Bolsa De Madrid","Spain","USD","EUR","0.86"
"SAB","BANCO DE SABADELL SA","Equity","2.78","1.47","16,914,041.00","24,836,702.97","24,836,702.97","Financials","B1X8QN2","ES0113860A34","Bolsa De Madrid","Spain","USD","EUR","0.86"
"GRF","GRIFOLS SA CLASS A","Equity","2.75","26.18","938,446.00","24,571,810.69","24,571,810.69","Health Care","BYY3DX6","ES0171996087","Bolsa De Madrid","Spain","USD","EUR","0.86"
"ELE","ENDESA SA","Equity","2.48","20.77","1,069,454.00","22,212,160.41","22,212,160.41","Utilities","5271782","ES0130670112","Bolsa De Madrid","Spain","USD","EUR","0.86"
"BKT","BANKINTER SA","Equity","2.40","9.16","2,346,760.00","21,485,862.79","21,485,862.79","Financials","5474008","ES0113679I37","Bolsa De Madrid","Spain","USD","EUR","0.86"
"ENG","ENAGAS SA","Equity","2.24","26.58","754,016.00","20,039,669.85","20,039,669.85","Energy","7383072","ES0130960018","Bolsa De Madrid","Spain","USD","EUR","0.86"
