iShares MSCI France ETF															
"Inception Date,""Mar 12, 1996"""															
"Fund Holdings as of,""Oct 26, 2018"""															
"Total Net Assets,""749,572,393.00"""															
"Shares Outstanding,""26,800,000.00"""															
"Stock,""-"""															
"Bond,""-"""															
"Cash,""-"""															
"Other,""-"""															
 															
Ticker	Name	Asset Class	Weight (%)	Price	Shares	Market Value	Notional Value	Sector	SEDOL	ISIN	Exchange	Country	Currency	Market Currency	FX Rate
FP	TOTAL SA	Equity	9,55	57,57	1 243 319,00	71 576 434,44	71 576 434,44	Energy	B15C557	FR0000120271	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
SAN	SANOFI SA	Equity	6,6	84,66	584 155,00	49 457 332,95	49 457 332,95	Health Care	5671735	FR0000120578	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
MC	LVMH	Equity	5,76	298,42	144 586,00	43 147 176,64	43 147 176,64	Consumer Discretionary	4061412	FR0000121014	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
AIR	AIRBUS GROUP	Equity	4,41	109,33	302 059,00	33 023 312,28	33 023 312,28	Industrials	4012250	NL0000235190	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
BNP	BNP PARIBAS SA	Equity	4,16	53,3	584 409,00	31 151 865,64	31 151 865,64	Financials	7309681	FR0000131104	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
OR	LOREAL SA	Equity	3,77	215,02	131 320,00	28 235 921,47	28 235 921,47	Consumer Staples	4057808	FR0000120321	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
AI	AIR LIQUIDE SA	Equity	3,6	121,27	222 620,00	26 996 322,07	26 996 322,07	Materials	B1YXBJ7	FR0000120073	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
CS	AXA SA	Equity	3,34	24,79	1 008 115,00	24 994 573,49	24 994 573,49	Financials	7088429	FR0000120628	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
DG	VINCI SA	Equity	3,09	88,05	262 848,00	23 144 594,90	23 144 594,90	Industrials	B1XH026	FR0000125486	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
BN	DANONE SA	Equity	3,04	71,18	319 655,00	22 752 828,73	22 752 828,73	Consumer Staples	B1Y9TB3	FR0000120644	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
SAF	SAFRAN SA	Equity	2,89	124,73	173 356,00	21 623 454,05	21 623 454,05	Industrials	B058TZ6	FR0000073272	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
SU	SCHNEIDER ELECTRIC	Equity	2,64	69,84	283 678,00	19 811 393,81	19 811 393,81	Industrials	4834108	FR0000121972	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
KER	KERING SA	Equity	2,25	429,12	39 376,00	16 897 134,25	16 897 134,25	Consumer Discretionary	5505072	FR0000121485	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
RI	PERNOD RICARD SA	Equity	2,23	151,68	110 333,00	16 735 581,96	16 735 581,96	Consumer Staples	4682329	FR0000120693	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
ORA	ORANGE SA	Equity	2,15	15,56	1 036 624,00	16 130 418,07	16 130 418,07	Communication	5176177	FR0000133308	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
EL	ESSILORLUXOTTICA SA	Equity	1,98	136,96	108 166,00	14 814 163,60	14 814 163,60	Health Care	7212477	FR0000121667	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
GLE	SOCIETE GENERALE SA	Equity	1,96	36,81	399 390,00	14 700 071,55	14 700 071,55	Financials	5966516	FR0000130809	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
VIV	VIVENDI SA	Equity	1,74	24,17	538 745,00	13 023 450,85	13 023 450,85	Communication	4834777	FR0000127771	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
URW	WFD UNIBAIL RODAMCO STAPLED UNITS	Equity	1,71	178,33	71 685,00	12 783 938,88	12 783 938,88	Real Estate	BFYM460	FR0013326246	Euronext Amsterdam	France	USD	EUR	0,88
ENGI	ENGIE SA	Equity	1,65	13,05	949 025,00	12 382 544,85	12 382 544,85	Utilities	B0C2CQ3	FR0010208488	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
CAP	CAPGEMINI	Equity	1,3	116,77	83 173,00	9 712 529,99	9 712 529,99	Information Technology	4163437	FR0000125338	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
SGO	COMPAGNIE DE SAINT GOBAIN SA	Equity	1,26	36,4	258 871,00	9 422 120,15	9 422 120,15	Industrials	7380482	FR0000125007	Nyse Euronext - Euronext Paris	France	USD	EUR	0,88
