iShares MSCI United Kingdom ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"1,834,229,742.04"
Shares Outstanding,"56,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"HSBA","HSBC HOLDINGS PLC","Equity","6.82","8.24","15,182,827.00","125,157,387.32","125,157,387.32","Financials","0540528","GB0005405286","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RDSA","ROYAL DUTCH SHELL PLC","Equity","6.28","33.09","3,480,424.00","115,175,243.84","115,175,243.84","Energy","B03MLX2","GB00B03MLX29","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"BP.","BP PLC","Equity","6.09","7.40","15,106,565.00","111,776,511.61","111,776,511.61","Energy","0798059","GB0007980591","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Equity","5.20","33.63","2,836,584.00","95,386,739.86","95,386,739.86","Energy","B03MM40","GB00B03MM408","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"GSK","GLAXOSMITHKLINE PLC","Equity","4.02","19.63","3,755,305.00","73,719,652.66","73,719,652.66","Health Care","0925288","GB0009252882","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"AZN","ASTRAZENECA PLC","Equity","3.98","76.13","959,116.00","73,019,526.25","73,019,526.25","Health Care","0989529","GB0009895292","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"BATS","BRITISH AMERICAN TOBACCO PLC","Equity","3.97","41.96","1,736,840.00","72,883,283.09","72,883,283.09","Consumer Staples","0287580","GB0002875804","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"DGE","DIAGEO PLC","Equity","3.45","33.93","1,863,511.00","63,231,107.14","63,231,107.14","Consumer Staples","0237400","GB0002374006","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"ULVR","UNILEVER PLC","Equity","2.69","53.39","924,697.00","49,369,790.83","49,369,790.83","Consumer Staples","B10RZP7","GB00B10RZP78","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RIO","RIO TINTO PLC","Equity","2.42","49.38","899,478.00","44,416,987.30","44,416,987.30","Materials","0718875","GB0007188757","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RB.","RECKITT BENCKISER GROUP PLC","Equity","2.41","87.35","506,854.00","44,272,595.00","44,272,595.00","Consumer Staples","B24CGK7","GB00B24CGK77","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"LLOY","LLOYDS BANKING GROUP PLC","Equity","2.26","0.76","54,615,302.00","41,384,978.84","41,384,978.84","Financials","0870612","GB0008706128","London Stock Exchange","United Kingdom","USD","GBP","0.76"
