iShares Core MSCI Europe ETF
Inception Date,"Jun 10, 2014"
Fund Holdings as of,"Oct 17, 2018"
Total Net Assets,"2,529,435,894.14"
Shares Outstanding,"55,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NESN","NESTLE SA","Equity","2.48","79.65","786,798.00","62,671,149.95","62,671,149.95","Consumer Staples","7123870","CH0038863350","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"NOVN","NOVARTIS AG","Equity","1.84","84.91","549,198.00","46,633,829.47","46,633,829.47","Health Care","7103065","CH0012005267","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"ROG","ROCHE HOLDING PAR AG","Equity","1.67","237.77","178,140.00","42,356,596.65","42,356,596.65","Health Care","7110388","CH0012032048","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.99"
"HSBA","HSBC HOLDINGS PLC","Equity","1.65","8.20","5,078,682.00","41,662,949.50","41,662,949.50","Financials","0540528","GB0005405286","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RDSA","ROYAL DUTCH SHELL PLC","Equity","1.50","32.77","1,156,191.00","37,887,604.42","37,887,604.42","Energy","B03MLX2","GB00B03MLX29","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"FP","TOTAL SA","Equity","1.47","61.64","604,458.00","37,256,800.64","37,256,800.64","Energy","B15C557","FR0000120271","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"BP.","BP PLC","Equity","1.46","7.33","5,050,746.00","37,035,666.81","37,035,666.81","Energy","0798059","GB0007980591","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Equity","1.27","33.48","958,153.00","32,077,588.45","32,077,588.45","Energy","B03MM40","GB00B03MM408","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SAP","SAP","Equity","1.14","115.69","249,884.00","28,908,331.06","28,908,331.06","Information Technology","4846288","DE0007164600","Xetra","Germany","USD","EUR","0.87"
"SAN","SANOFI SA","Equity","1.00","89.02","284,094.00","25,289,840.35","25,289,840.35","Health Care","5671735","FR0000120578","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"BATS","BRITISH AMERICAN TOBACCO PLC","Equity","0.99","43.13","582,876.00","25,140,640.27","25,140,640.27","Consumer Staples","0287580","GB0002875804","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"AZN","ASTRAZENECA PLC","Equity","0.98","76.97","321,692.00","24,759,101.99","24,759,101.99","Health Care","0989529","GB0009895292","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"GSK","GLAXOSMITHKLINE PLC","Equity","0.97","19.63","1,250,502.00","24,544,164.98","24,544,164.98","Health Care","0925288","GB0009252882","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"ALV","ALLIANZ","Equity","0.93","212.53","110,373.00","23,458,103.81","23,458,103.81","Financials","5231485","DE0008404005","Xetra","Germany","USD","EUR","0.87"
"SIE","SIEMENS N AG","Equity","0.89","117.90","191,778.00","22,610,754.12","22,610,754.12","Industrials","5727973","DE0007236101","Xetra","Germany","USD","EUR","0.87"
