iShares MSCI Europe Small-Cap ETF
Inception Date,"Nov 12, 2007"
Fund Holdings as of,"Oct 17, 2018"
Total Net Assets,"212,703,726.64"
Shares Outstanding,"4,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"RTO","RENTOKIL INITIAL PLC","Equity","0.58","4.13","299,171.00","1,236,554.46","1,236,554.46","Industrials","B082RF1","GB00B082RF11","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SMDS","SMITH (DS) PLC","Equity","0.56","5.38","222,338.00","1,195,816.70","1,195,816.70","Materials","0822011","GB0008220112","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"LEG","LEG IMMOBILIEN N AG","Equity","0.56","115.06","10,291.00","1,184,127.84","1,184,127.84","Real Estate","B9G6L89","DE000LEG1110","Xetra","Germany","USD","EUR","0.87"
"KRX","KINGSPAN GROUP PLC","Equity","0.54","46.09","24,825.00","1,144,306.91","1,144,306.91","Industrials","4491235","IE0004927939","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.87"
"ASRNL","ASR NEDERLAND NV","Equity","0.52","46.16","23,809.00","1,099,121.49","1,099,121.49","Financials","BD9PNF2","NL0011872643","Euronext Amsterdam","Netherlands","USD","EUR","0.87"
"HLMA","HALMA PLC","Equity","0.50","17.31","61,808.00","1,069,934.31","1,069,934.31","Information Technology","0405207","GB0004052071","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SPX","SPIRAX-SARCO ENGINEERING PLC","Equity","0.49","86.29","12,002.00","1,035,657.14","1,035,657.14","Industrials","BWFGQN1","GB00BWFGQN14","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"LOGN","LOGITECH INTERNATIONAL SA","Equity","0.48","40.54","25,413.00","1,030,294.82","1,030,294.82","Information Technology","B18ZRK2","CH0025751329","SIX Swiss Exchange","Switzerland","USD","CHF","0.99"
"HSX","HISCOX LTD","Equity","0.48","21.87","46,279.00","1,012,034.26","1,012,034.26","Financials","BVZHXQ9","BMG4593F1389","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"OCDO","OCADO GROUP PLC","Equity","0.47","11.04","91,002.00","1,004,941.20","1,004,941.20","Consumer Discretionary","B3MBS74","GB00B3MBS747","London Stock Exchange","United Kingdom","USD","GBP","0.76"
"SCA B","SVENSKA CELLULOSA B","Equity","0.46","9.92","98,278.00","975,095.17","975,095.17","Materials","B1VVGZ5","SE0000112724","Nasdaq Omx Nordic","Sweden","USD","SEK","8.95"
"GN","GN STORE NORD","Equity","0.45","42.30","22,464.00","950,153.66","950,153.66","Health Care","4501093","DK0010272632","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.47"
"ORP","ORPEA S.A.","Equity","0.42","120.48","7,432.00","895,431.70","895,431.70","Health Care","7339451","FR0000184798","Nyse Euronext - Euronext Paris","France","USD","EUR","0.87"
"RMV","RIGHTMOVE PLC","Equity","0.39","5.64","147,340.00","831,249.51","831,249.51","Communication","BGDT3G2","GB00BGDT3G23","London Stock Exchange","United Kingdom","USD","GBP","0.76"
