Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"NESN","NESTLE SA","Equity","3.97","69.09","1,110,072.00","76,691,121.89","76,691,121.89","Consumer Staples","CH0038863350","SIX Swiss Exchange","Switzerland","CHF"
"NOVN","NOVARTIS AG","Equity","2.95","73.65","773,309.00","56,952,753.30","56,952,753.30","Health Care","CH0012005267","Six Swiss Exchange Ag","Switzerland","CHF"
"ROG","ROCHE HOLDING PAR AG","Equity","2.68","206.23","250,597.00","51,680,297.28","51,680,297.28","Health Care","CH0012032048","Six Swiss Exchange Ag","Switzerland","CHF"
"FP","TOTAL SA","Equity","2.36","53.46","853,094.00","45,606,405.24","45,606,405.24","Energy","FR0000120271","Nyse Euronext - Euronext Paris","France","EUR"
"SAP","SAP","Equity","1.82","100.34","350,784.00","35,197,666.56","35,197,666.56","Information Technology","DE0007164600","Xetra","Germany","EUR"
"SAN","SANOFI SA","Equity","1.60","77.21","401,010.00","30,961,982.10","30,961,982.10","Health Care","FR0000120578","Nyse Euronext - Euronext Paris","France","EUR"
"ALV","ALLIANZ","Equity","1.49","184.34","156,433.00","28,836,859.22","28,836,859.22","Financials","DE0008404005","Xetra","Germany","EUR"
"SIE","SIEMENS N AG","Equity","1.44","102.26","271,825.00","27,796,824.50","27,796,824.50","Industrials","DE0007236101","Xetra","Germany","EUR"
"MC","LVMH","Equity","1.36","264.15","99,085.00","26,173,302.75","26,173,302.75","Consumer Discretionary","FR0000121014","Nyse Euronext - Euronext Paris","France","EUR"
"BAYN","BAYER AG","Equity","1.33","77.38","332,628.00","25,738,754.64","25,738,754.64","Health Care","DE000BAY0017","Xetra","Germany","EUR"
"UNA","UNILEVER DUTCH CERTIFICATES NV","Equity","1.33","46.42","551,620.00","25,606,200.40","25,606,200.40","Consumer Staples","NL0000009355","Euronext Amsterdam","Netherlands","EUR"
"SAN","BANCO SANTANDER SA","Equity","1.26","4.26","5,733,228.00","24,423,551.28","24,423,551.28","Financials","ES0113900J37","Bolsa De Madrid","Spain","EUR"
"NOVO B","NOVO NORDISK CLASS B","Equity","1.26","37.49","648,074.00","24,296,210.80","24,296,210.80","Health Care","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"ASML","ASML HOLDING NV","Equity","1.22","160.38","146,563.00","23,505,773.94","23,505,773.94","Information Technology","NL0010273215","Euronext Amsterdam","Netherlands","EUR"
"BAS","BASF N","Equity","1.17","69.02","328,381.00","22,664,856.62","22,664,856.62","Materials","DE000BASF111","Xetra","Germany","EUR"
"AIR","AIRBUS GROUP","Equity","1.09","100.86","207,919.00","20,970,710.34","20,970,710.34","Industrials","NL0000235190","Nyse Euronext - Euronext Paris","France","EUR"
"BNP","BNP PARIBAS SA","Equity","1.03","49.60","402,466.00","19,962,313.60","19,962,313.60","Financials","FR0000131104","Nyse Euronext - Euronext Paris","France","EUR"
"ABI","ANHEUSER BUSCH INBEV NV","Equity","1.02","72.79","270,723.00","19,705,927.17","19,705,927.17","Consumer Staples","BE0974293251","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"DAI","DAIMLER AG","Equity","0.89","52.76","326,005.00","17,200,023.80","17,200,023.80","Consumer Discretionary","DE0007100000","Xetra","Germany","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Equity","0.88","14.40","1,184,119.00","17,045,393.00","17,045,393.00","Communication","DE0005557508","Xetra","Germany","EUR"
"OR","LOREAL SA","Equity","0.88","187.75","90,309.00","16,955,514.75","16,955,514.75","Consumer Staples","FR0000120321","Nyse Euronext - Euronext Paris","France","EUR"
"UBSG","UBS GROUP AG","Equity","0.88","12.36","1,369,188.00","16,929,988.25","16,929,988.25","Financials","CH0244767585","Six Swiss Exchange Ag","Switzerland","CHF"
"AI","AIR LIQUIDE SA","Equity","0.85","106.70","153,722.00","16,402,137.40","16,402,137.40","Materials","FR0000120073","Nyse Euronext - Euronext Paris","France","EUR"
"CS","AXA SA","Equity","0.80","22.52","689,262.00","15,518,733.93","15,518,733.93","Financials","FR0000120628","Nyse Euronext - Euronext Paris","France","EUR"
"INGA","ING GROEP NV","Equity","0.77","10.78","1,380,525.00","14,887,581.60","14,887,581.60","Financials","NL0011821202","Euronext Amsterdam","Netherlands","EUR"
"ZURN","ZURICH INSURANCE GROUP AG","Equity","0.74","265.56","53,773.00","14,280,127.97","14,280,127.97","Financials","CH0011075394","Six Swiss Exchange Ag","Switzerland","CHF"
"DG","VINCI SA","Equity","0.73","78.44","180,787.00","14,180,932.28","14,180,932.28","Industrials","FR0000125486","Nyse Euronext - Euronext Paris","France","EUR"
"ENI","ENI","Equity","0.73","15.58","903,743.00","14,083,930.91","14,083,930.91","Energy","IT0003132476","Borsa Italiana","Italy","EUR"
"LINU","LINDE AG","Equity","0.71","207.50","65,991.00","13,693,132.50","13,693,132.50","Materials","DE000A2E4L75","Xetra","Germany","EUR"
"BN","DANONE SA","Equity","0.71","62.22","219,632.00","13,665,503.04","13,665,503.04","Consumer Staples","FR0000120644","Nyse Euronext - Euronext Paris","France","EUR"
"ADS","ADIDAS N AG","Equity","0.70","201.70","66,897.00","13,493,124.90","13,493,124.90","Consumer Discretionary","DE000A1EWWW0","Xetra","Germany","EUR"
"IBE","IBERDROLA SA","Equity","0.68","6.18","2,118,743.00","13,085,356.77","13,085,356.77","Utilities","ES0144580Y14","Bolsa De Madrid","Spain","EUR"
"SAF","SAFRAN SA","Equity","0.67","109.95","118,519.00","13,031,164.05","13,031,164.05","Industrials","FR0000073272","Nyse Euronext - Euronext Paris","France","EUR"
"ENEL","ENEL","Equity","0.66","4.41","2,889,345.00","12,753,568.83","12,753,568.83","Utilities","IT0003128367","Borsa Italiana","Italy","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA","Equity","0.65","5.30","2,368,767.00","12,549,727.57","12,549,727.57","Financials","ES0113211835","Bolsa De Madrid","Spain","EUR"
"SU","SCHNEIDER ELECTRIC","Equity","0.64","62.96","194,808.00","12,265,111.68","12,265,111.68","Industrials","FR0000121972","Nyse Euronext - Euronext Paris","France","EUR"
"ABBN","ABB LTD","Equity","0.63","18.50","654,676.00","12,111,122.89","12,111,122.89","Industrials","CH0012221716","Six Swiss Exchange Ag","Switzerland","CHF"
