Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"NESN","NESTLE SA","Equity","2.86","69.09","1,798,873.00","124,278,054.50","124,278,054.50","Consumer Staples","CH0038863350","SIX Swiss Exchange","Switzerland","CHF"
"NOVN","NOVARTIS AG","Equity","2.13","73.65","1,253,561.00","92,322,409.77","92,322,409.77","Health Care","CH0012005267","Six Swiss Exchange Ag","Switzerland","CHF"
"ROG","ROCHE HOLDING PAR AG","Equity","1.93","206.23","406,064.00","83,742,056.91","83,742,056.91","Health Care","CH0012032048","Six Swiss Exchange Ag","Switzerland","CHF"
"HSBA","HSBC HOLDINGS PLC","Equity","1.89","7.12","11,566,775.00","82,300,183.94","82,300,183.94","Financials","GB0005405286","London Stock Exchange","United Kingdom","GBP"
"RDSA","ROYAL DUTCH SHELL PLC","Equity","1.74","28.42","2,657,216.00","75,523,819.75","75,523,819.75","Energy","GB00B03MLX29","London Stock Exchange","United Kingdom","GBP"
"FP","TOTAL SA","Equity","1.70","53.46","1,383,573.00","73,965,812.58","73,965,812.58","Energy","FR0000120271","Nyse Euronext - Euronext Paris","France","EUR"
"BP.","BP PLC","Equity","1.69","6.36","11,572,701.00","73,601,878.49","73,601,878.49","Energy","GB0007980591","London Stock Exchange","United Kingdom","GBP"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Equity","1.45","29.04","2,164,979.00","62,865,165.31","62,865,165.31","Energy","GB00B03MM408","London Stock Exchange","United Kingdom","GBP"
"SAP","SAP","Equity","1.31","100.34","568,056.00","56,998,739.04","56,998,739.04","Information Technology","DE0007164600","Xetra","Germany","EUR"
"SAN","SANOFI SA","Equity","1.16","77.21","652,364.00","50,369,024.44","50,369,024.44","Health Care","FR0000120578","Nyse Euronext - Euronext Paris","France","EUR"
