Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"AAPL","APPLE INC","Equity","4.13","221.19","394,643.00","87,291,085.17","87,291,085.17","Information Technology","US0378331005","NASDAQ","United States","USD"
"MSFT","MICROSOFT CORP","Equity","3.07","110.71","586,139.00","64,891,448.69","64,891,448.69","Information Technology","US5949181045","NASDAQ","United States","USD"
"AMZN","AMAZON COM INC","Equity","2.87","1,831.73","33,120.00","60,666,897.60","60,666,897.60","Consumer Discretionary","US0231351067","NASDAQ","United States","USD"
"FB","FACEBOOK CLASS A INC","Equity","1.45","159.42","192,616.00","30,706,842.72","30,706,842.72","Communication","US30303M1027","NASDAQ","United States","USD"
"JPM","JPMORGAN CHASE & CO","Equity","1.42","109.83","274,153.00","30,110,223.99","30,110,223.99","Financials","US46625H1005","New York Stock Exchange Inc.","United States","USD"
"JNJ","JOHNSON & JOHNSON","Equity","1.42","139.46","215,386.00","30,037,731.56","30,037,731.56","Health Care","US4781601046","New York Stock Exchange Inc.","United States","USD"
"GOOG","ALPHABET INC CLASS C","Equity","1.33","1,115.69","25,253.00","28,174,519.57","28,174,519.57","Communication","US02079K1079","NASDAQ","United States","USD"
"XOM","EXXON MOBIL CORP","Equity","1.31","81.50","340,108.00","27,718,802.00","27,718,802.00","Energy","US30231G1022","New York Stock Exchange Inc.","United States","USD"
"GOOGL","ALPHABET INC CLASS A","Equity","1.27","1,127.59","23,892.00","26,940,380.28","26,940,380.28","Communication","US02079K3059","NASDAQ","United States","USD"
"BAC","BANK OF AMERICA CORP","Equity","1.06","28.90","771,753.00","22,303,661.70","22,303,661.70","Financials","US0605051046","New York Stock Exchange Inc.","United States","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.02","210.52","102,850.00","21,651,982.00","21,651,982.00","Financials","US0846707026","New York Stock Exchange Inc.","United States","USD"
