iShares Core MSCI Pacific ETF
Inception Date,"Jun 10, 2014"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"845,843,699.09"
Shares Outstanding,"15,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"7203","TOYOTA MOTOR CORP","Equity","2.21","58.12","321,300.00","18,674,139.82","18,674,139.82","Consumer Discretionary","6900643","JP3633400001","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"1299","AIA GROUP LTD","Equity","1.59","7.84","1,713,600.00","13,436,784.38","13,436,784.38","Financials","B4TX8S1","HK0000069689","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.84"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Equity","1.32","46.92","237,855.00","11,161,014.42","11,161,014.42","Financials","6215035","AU000000CBA7","Asx - All Markets","Australia","USD","AUD","1.40"
"BHP","BHP BILLITON LTD","Equity","1.30","24.19","455,033.00","11,005,407.66","11,005,407.66","Materials","6144690","AU000000BHP4","Asx - All Markets","Australia","USD","AUD","1.40"
"9984","SOFTBANK GROUP CORP","Equity","1.24","85.43","122,400.00","10,456,056.68","10,456,056.68","Communication","6770620","JP3436100006","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"6758","SONY CORP","Equity","1.23","56.64","183,600.00","10,399,336.99","10,399,336.99","Consumer Discretionary","6821506","JP3435000009","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Equity","1.20","6.05","1,676,100.00","10,143,381.10","10,143,381.10","Financials","6335171","JP3902900004","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"WBC","WESTPAC BANKING CORP","Equity","1.02","18.68","463,094.00","8,649,725.77","8,649,725.77","Financials","6076146","AU000000WBC1","Asx - All Markets","Australia","USD","AUD","1.40"
"CSL","CSL LTD","Equity","1.01","134.39","63,402.00","8,520,305.79","8,520,305.79","Health Care","6185495","AU000000CSL8","Asx - All Markets","Australia","USD","AUD","1.40"
"6861","KEYENCE CORP","Equity","0.92","508.22","15,300.00","7,775,778.64","7,775,778.64","Information Technology","6490995","JP3236200006","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","Equity","0.87","18.23","402,028.00","7,328,426.70","7,328,426.70","Financials","6065586","AU000000ANZ3","Asx - All Markets","Australia","USD","AUD","1.40"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Equity","0.85","39.21","183,600.00","7,199,037.56","7,199,037.56","Financials","6563024","JP3890350006","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
"9433","KDDI CORP","Equity","0.81","26.29","260,100.00","6,838,881.17","6,838,881.17","Communication","6248990","JP3496400007","Tokyo Stock Exchange","Japan","USD","JPY","112.22"
