Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"JPY","JPY CASH","Cash","1.92","0.89","1,386,199,858.00","12,367,398.48","12,367,398.48","Cash and/or Derivatives","-","-","Japan","JPY"
"7956","PIGEON CORP","Equity","0.74","48.00","98,800.00","4,742,329.48","4,742,329.48","Consumer Staples","JP3801600002","Tokyo Stock Exchange","Japan","JPY"
"2768","SOJITZ CORP","Equity","0.60","3.61","1,070,200.00","3,866,984.88","3,866,984.88","Industrials","JP3663900003","Tokyo Stock Exchange","Japan","JPY"
"8954","ORIX JREIT REIT INC","Equity","0.55","1,569.34","2,251.00","3,532,594.91","3,532,594.91","Real Estate","JP3040880001","Tokyo Stock Exchange","Japan","JPY"
"7747","ASAHI INTECC LTD","Equity","0.55","45.77","76,900.00","3,519,623.50","3,519,623.50","Health Care","JP3110650003","Tokyo Stock Exchange","Japan","JPY"
"2127","NIHON M&A CENTER INC","Equity","0.52","28.15","119,600.00","3,366,534.33","3,366,534.33","Industrials","JP3689050007","Tokyo Stock Exchange","Japan","JPY"
"6857","ADVANTEST CORP","Equity","0.48","19.90","154,000.00","3,063,924.70","3,063,924.70","Information Technology","JP3122400009","Tokyo Stock Exchange","Japan","JPY"
"4587","PEPTIDREAM INC","Equity","0.47","38.63","78,700.00","3,040,290.85","3,040,290.85","Health Care","JP3836750004","Tokyo Stock Exchange","Japan","JPY"
"1808","HASEKO CORP","Equity","0.47","13.07","231,520.00","3,026,067.72","3,026,067.72","Consumer Discretionary","JP3768600003","Tokyo Stock Exchange","Japan","JPY"
"3626","TIS INC","Equity","0.46","46.48","64,237.00","2,985,901.50","2,985,901.50","Information Technology","JP3104890003","Tokyo Stock Exchange","Japan","JPY"
"3281","GLP J-REIT REIT","Equity","0.46","1,002.81","2,944.00","2,952,273.72","2,952,273.72","Real Estate","JP3047510007","Tokyo Stock Exchange","Japan","JPY"
"5301","TOKAI CARBON LTD","Equity","0.46","18.15","162,018.00","2,940,131.26","2,940,131.26","Materials","JP3560800009","Tokyo Stock Exchange","Japan","JPY"
"3064","MONOTARO LTD","Equity","0.46","27.61","106,300.00","2,935,258.96","2,935,258.96","Industrials","JP3922950005","Tokyo Stock Exchange","Japan","JPY"
"1721","COMSYS HOLDINGS CORP","Equity","0.45","28.46","102,690.00","2,922,613.20","2,922,613.20","Industrials","JP3305530002","Tokyo Stock Exchange","Japan","JPY"
"9684","SQUARE ENIX HLDG LTD","Equity","0.45","38.94","74,000.00","2,881,830.75","2,881,830.75","Communication","JP3164630000","Tokyo Stock Exchange","Japan","JPY"
"4527","ROHTO PHARMACEUTICAL LTD","Equity","0.42","33.59","80,415.00","2,701,186.38","2,701,186.38","Health Care","JP3982400008","Tokyo Stock Exchange","Japan","JPY"
"3269","ADVANCE RESIDENCE INVESTMENT REIT","Equity","0.42","2,568.59","1,048.00","2,691,878.49","2,691,878.49","Real Estate","JP3047160001","Tokyo Stock Exchange","Japan","JPY"
"6361","EBARA CORP","Equity","0.41","31.94","82,977.00","2,650,289.16","2,650,289.16","Industrials","JP3166000004","Tokyo Stock Exchange","Japan","JPY"
"3197","SKYLARK HOLDINGS LTD","Equity","0.40","15.30","168,900.00","2,584,319.94","2,584,319.94","Consumer Discretionary","JP3396210001","Tokyo Stock Exchange","Japan","JPY"
"4061","DENKA CO LTD","Equity","0.39","35.51","71,700.00","2,545,978.50","2,545,978.50","Materials","JP3549600009","Tokyo Stock Exchange","Japan","JPY"
"8985","JAPAN HOTEL INVESTMENT REIT CORP","Equity","0.39","728.02","3,437.00","2,502,201.01","2,502,201.01","Real Estate","JP3046400002","Tokyo Stock Exchange","Japan","JPY"
"3088","MATSUMOTOKIYOSHI HOLDINGS LTD","Equity","0.38","36.76","66,710.00","2,452,114.02","2,452,114.02","Consumer Staples","JP3869010003","Tokyo Stock Exchange","Japan","JPY"
"4516","NIPPON SHINYAKU LTD","Equity","0.38","62.10","38,957.00","2,419,063.39","2,419,063.39","Health Care","JP3717600005","Tokyo Stock Exchange","Japan","JPY"
"1951","KYOWA EXE CORP","Equity","0.37","28.10","85,740.00","2,409,608.78","2,409,608.78","Industrials","JP3254200003","Tokyo Stock Exchange","Japan","JPY"
"8876","RELO GROUP INC","Equity","0.37","26.23","90,820.00","2,382,217.07","2,382,217.07","Real Estate","JP3755200007","Tokyo Stock Exchange","Japan","JPY"
"9065","SANKYU INC","Equity","0.37","53.08","44,609.00","2,368,055.94","2,368,055.94","Industrials","JP3326000001","Tokyo Stock Exchange","Japan","JPY"
"8972","KENEDIX OFFICE INVESTMENT REIT COR","Equity","0.36","6,370.17","365.00","2,325,110.41","2,325,110.41","Real Estate","JP3046270009","Tokyo Stock Exchange","Japan","JPY"
